Plot ID,PPW1328,,Sampler(s),"DDA, MNB, APW, MFO",,,,,Date ,"20130426, 20130502",,
D3,SA,5022,FRACAL,1,,91,0.55,1,,-278,-94,
D3,TR,4996,QUEAGR,1,,,,,17.55,-262,-43,
D3,SA,5023,PSEMEN,1,,161,1.21,1,,-234,-39,
D3,TR,4997,QUEAGR,1,,,,,8.7,-221,-79,MOSTLY TOP KILL
D3,TR,,QUEAGR,0,D,10,10,,,-188,-163,
D3,TR,4998,QUEAGR,1,,,,,7.55,-117,-29,MOSTLY TOP KILL
D3,TR,,QUEAGR,1,D,,,,7.5,-127,84,
D3,SA,5024,QUEAGR,1,,64,0.58,6,,-127,-84,ASSOCIATED WITH NEARBY STUMP
D3,TR,4999,QUEAGR,1,,,,,16.2,-102,-14,
D3,SA,,QUEAGR,0,D,10,8.5,1,,-20,86,STUMP SPROUTS LESS THAN 50 CM
D3,SA,4909,QUEAGR,1,,113,7.6,1,,-54,93,
D3,SA,,QUEAGR,0,D,10,6.22,1,,-71,152,
D3,SA,5055,FRACAL,1,,103,0.61,1,,-119,126,
D3,TR,5009,UMBCAL,1,,,,,1.82,-141,117,
D3,TR,5009.1,UMBCAL,1,,,,,1.3,-141,117,
,,,,,,,,,,,,
D3,TR,5009.2,UMBCAL,1,,,,,1.45,-141,117,
D3,TR,5009.3,UMBCAL,1,,,,,1.89,-141,117,
D3,TS,5009.4,UMBCAL,1,,90,0.66,2,,-141,117,
,,,,,,,,,,,,
A1,TR,4673,QUEAGR,1,,,,,12,NA,NA,INPUTED AFTER AUG2013 RESURVEY 20130810 MFO
B4,TR,4801,QUEAGR,1,,NA,NA,NA,NA,20,-260,INPUTED AFTER AUG2013 RESURVEY 20130810 MFO
C2,TR,4892,QUEAGR,1,,,,,27.8,180,-92,INPUTED AFTER AUG2013 RESURVEY 20130810 MFO
C4,TS,4954,QUEAGR,1,,,,,NA,60,220,INPUTED AFTER AUG2013 RESURVEY 20130810 MFO
C4,SA,4930,PSEMEN,1,,NA,NA,NA,,-129,-12,INPUTED AFTER AUG2013 RESURVEY 20130810 MFO
