Plot ID,PPW1340,,Sampler(s),"MFO, MNB, MMJ, KMG, DEH",,,,,Date,20130220,,
C3,SA,,PSEMEN,0,S,,0.73,1,,83,151,
C3,TR,,PSEMEN,0,S,10,2.03,1,,51,183,
C3,TR,,PSEMEN,0,S,10,1.05,1,,53,189,
C3,TR,,PSEMEN,0,S,10,1.01,1,,43,216,
C3,TR,,PSEMEN,0,S,10,1,1,,88,221,
C3,TR,,PSEMEN,0,S,10,3.64,1,,140,228,
C3,TR,,PSEMEN,0,S,10,1.12,1,,153,165,
C3,TR,,PSEMEN,0,S,10,1.28,1,,160,182,
C3,TR,,PSEMEN,0,S,10,1.69,1,,199,179,
C3,TR,,PSEMEN,0,S,10,1.12,1,,18,-206,
C3,TR,,PSEMEN,0,S,10,1.12,1,,42,-211,
C3,TR,,PSEMEN,0,S,10,1.83,1,,71,-206,
C3,TR,,PSEMEN,0,S,10,2.33,2,,16,-150,
C3,TR,,PSEMEN,0,S,10,3.63,1,,39,-117,
C3,TR,,PSEMEN,0,S,10,2.31,1,,55,-131,
C3,TR,,PSEMEN,0,S,10,2.57,1,,63,-156,
C3,TR,,PSEMEN,0,S,10,1.21,1,,-137,-26,
C3,TR,,PSEMEN,0,S,10,1.28,1,,-85,-26,
C3,TR,,PSEMEN,0,S,10,0.85,1,,-76,-31,
C3,TR,,PSEMEN,0,S,10,0.81,1,,-123,-53,
C4,TR,,PSEMEN,0,S,10,2.06,1,,-48,42,
C4,SA,,PSEMEN,1,D,77,0.51,1,,240,138,
C4,TR,,PSEMEN,1,S,10,1.14,1,,13,27,
D4,TR,,PSEMEN,0,S,10,0.88,1,,-122,55,
D4,SA,,ARCMAN,0,D,170,2.18,1,,-193,207,
D4,SA,,PSEMEN,0,D,74,0.54,1,,-47,152,
D4,SA,,ARBMEN,0,D,150,1.4,2,,-35,171,
D3,TR,,PSEMEN,0,S,10,4.06,1,,-15,-124,BD at 6cm
D3,TR,,PSEMEN,0,S,10,0.46,1,,-137,-129,
D3,TR,,PSEMEN,0,S,10,0.66,1,,-141,-140,
D3,TR,,PSEMEN,0,S,10,2.35,1,,-83,-209,BD at 6cm
D3,TR,,PSEMEN,0,S,10,2.55,1,,-112,-216,BD at 4cm
D3,TR,,PSEMEN,0,S,10,0.86,1,,-227,-103,
D3,TR,,PSEMEN,0,S,10,0.92,1,,-220,-134,
D3,TR,,PSEMEN,0,S,10,0.55,,,-227,-206,BD at 9cm
D3,TR,,PSEMEN,0,S,10,0.8,,,-288,-111,
D3,TR,,PSEMEN,0,S,10,0.99,,,-286,-131,
D3,TR,,PSEMEN,0,S,10,1.34,,,202,-10,
D3,TR,,PSEMEN,0,S,10,2.63,,,62,201,
D3,TR,,PSEMEN,0,S,10,0.85,,,67,57,
D3,TR,,PSEMEN,0,S,10,0.75,,,215,85,BD AT 8CM
D3,TR,,PSEMEN,0,S,10,0.98,,,246,123,
D3,TR,,PSEMEN,0,S,10,1.16,,,297,89,
D3,TR,,PSEMEN,0,S,10,0.44,,,253,116,
D3,TR,,PSEMEN,0,S,10,0.47,,,-224,190,
D3,TR,,PSEMEN,0,S,10,0.73,,,-233,245,BD AT 7cm
D3,TR,,PSEMEN,0,S,10,0.61,,,-237,250,
D3,TR,,PSEMEN,0,S,10,0.69,,,-270,256,
D3,TR,,PSEMEN,0,S,10,1.9,,,-140,30,
D3,TR,,PSEMEN,0,S,10,0.85,,,-121,39,
D3,TR,,PSEMEN,0,S,10,0.65,,,-118,38,
D3,TR,,PSEMEN,0,S,10,1.51,,,-74,47,
D3,TR,,PSEMEN,0,S,10,1.12,,,-37,15,
D3,TR,,PSEMEN,0,S,10,2.9,,,43,8,
D2,TR,,PSEMEN,0,S,10,0.58,,,3,-16,
D2,TR,,PSEMEN,0,S,10,1.37,,,6,-20,
D2,TR,,PSEMEN,0,S,10,5.31,,,16,-1,
D2,TR,,PSEMEN,0,S,10,0.46,,,47,-19,
D2,TR,,PSEMEN,0,S,,0.69,,,209,-57,
D2,TR,,PSEMEN,0,S,,1.3,,,195,-83,
D2,TR,,PSEMEN,1,S,10,0.62,,,183,-107,BD at 8cm
D2,TR,,PSEMEN,1,S,10,0.61,,,218,-91,
D2,TR,,PSEMEN,1,S,10,0.71,,,260,-86,
D2,TR,,PSEMEN,1,S,10,0.67,,,-158,-111,BD at 6cm
D2,TR,,PSEMEN,1,S,10,1.25,,,-51,-27,
D2,TR,,PSEMEN,1,S,10,1.64,,,-111,-45,
D2,TR,,PSEMEN,1,S,10,0.76,,,-71,-83,BD at 6cm
D2,TR,,PSEMEN,1,S,10,0.69,,,-67,-95,BD at 8cm
D2,TR,,PSEMEN,1,S,10,0.47,,,-62,-94,BD at 7cm
D2,TR,,PSEMEN,1,S,10,2.48,,,-117,268,BD at 5cm
D2,TR,,PSEMEN,1,S,10,1.28,,,-10,179,BD at 6cm
D2,TR,,PSEMEN,1,S,10,0.98,,,-21,95,
D2,TR,,PSEMEN,1,S,10,1.25,,,-24,86,BD at 9cm
D2,TR,,PSEMEN,1,S,10,0.83,,,-54,44,
D2,TR,,PSEMEN,1,S,10,4.84,,,-103,27,
D2,TR,,PSEMEN,1,S,10,1.5,,,264,133,BD at 8cm
D2,TR,,PSEMEN,1,S,10,0.76,,,232,137,BD at 6cm
D2,TR,,PSEMEN,1,S,10,0.67,,,191,166,
D2,TR,,PSEMEN,1,S,10,0.94,,,150,145,
D2,TR,,PSEMEN,0,S,10,21,,,124,91,
D2,TR,,PSEMEN,0,S,10,6.66,,,108,137,
D2,TR,,PSEMEN,0,S,10,1.28,,,98,113,
D2,TR,,PSEMEN,0,S,10,2.76,,,76,162,
D2,TR,,PSEMEN,0,S,10,1.6,,,49,150,
D2,TR,,PSEMEN,0,S,10,1.22,,,27,252,
D2,TR,,PSEMEN,0,S,10,0.74,,,67,259,
D2,TR,,PSEMEN,0,S,10,0.65,,,92,273,
D1,TR,,PSEMEN,0,S,10,7.2,,,24,-106,
D1,TR,,PSEMEN,0,S,10,1.76,,,56,-102,
D1,TR,,PSEMEN,0,S,10,8.4,,,59,-116,
D1,TR,,PSEMEN,0,S,10,3.23,,,110,-112,
D1,TR,,PSEMEN,0,S,10,1.66,,,69,-2,
D1,TR,,PSEMEN,0,S,10,1.35,,,177,-15,
D1,TR,,PSEMEN,0,S,10,4.82,,,198,-41,
D1,TR,,PSEMEN,0,S,10,1.27,,,206,-61,
D1,TR,,PSEMEN,0,S,10,1.93,,,-200,-32,
D1,TR,,PSEMEN,0,S,10,9.27,,,-174,-19,
D1,TR,,PSEMEN,0,S,10,2.98,,,-164,-30,
D1,TR,,PSEMEN,0,S,10,8.2,,,-123,-122,
D1,TR,,PSEMEN,0,S,10,5.16,,,-95,-132,BD at 7cm
D1,TR,,PSEMEN,0,S,10,6.56,,,-33,325,
D1,TR,,PSEMEN,0,S,10,0.91,,,-74,298,
D1,TR,,PSEMEN,0,S,10,12.8,,,-168,298,
D1,TR,,ARBMEN,1,D,,,,4.16,-33,-227,
D1,TR,,PSEMEN,0,S,10,1.76,,,-99,236,
D1,TR,,PSEMEN,0,S,10,12.2,,,-121,219,
D1,TR,,PSEMEN,0,S,10,2.07,,,-121,181,
D1,TR,,PSEMEN,0,S,10,15.6,,,59,130,BD at 5cm
D1,TR,,PSEMEN,0,S,10,1.89,,,19,219,BD at 7cm
D1,TR,,PSEMEN,0,S,10,2.85,,,32,222,
D1,TR,,ARBMEN,1,S,10,6.97,,,83,-207,
D1,TR,,PSEMEN,0,S,10,8.5,,,153,-175,
D1,TR,,PSEMEN,0,S,10,5.02,,,205,-154,
D1,TR,,PSEMEN,0,S,10,3.58,,,-284,57,BD at 4cm
D1,TR,,PSEMEN,0,S,10,2.9,,,-257,85,
D1,TR,,PSEMEN,0,S,10,6.04,,,-203,97,BD at 4cm
D1,TR,,PSEMEN,0,S,10,2.74,,,-190,155,
