SORT,Plot ID,PPW1330,,Sampler(s),"MFO, MNB, MAP, PP, JAR",,,,,Date ,20130329,,
380,C2,TR,3893.1,HETARB,1,,,,,2.27,196,121,
381,C2,SA,3901,HETARB,1,,200,1.13,1,,210,112,
382,C2,TR,3958,HETARB,1,,,,,1.21,202,167,
383,C2,TR,3958.1,HETARB,1,,,,,1.1,202,167,
384,C2,TS,3958.2,HETARB,1,,174,0.56,4,,202,167,
385,C2,TR,,HETARB,1,D,,,,3.1,-114,158,MAJOR TRUNK ERODED
386,C2,SA,4102,AMOCAL,1,,171,0.75,3,,195,168,
387,C2,SA,3905,UMBCAL,1,,76,0.54,1,,-142,175,
388,C2,SA,3894,AMOCAL,1,,213,1.15,1,,220,36,
389,C2,TR,3892,UMBCAL,1,,,,,1.69,225,38,TREE NUM INPUTED AFTER AUG2013 RESURVEY 20130810 MFO
390,C2,SA,4101,AMOCAL,1,,187,1.49,2,,185,16,
391,C2,SA,3904,UMBCAL,1,,59,0.51,1,,-160,193,
392,C2,TR,3891,UMBCAL,1,,,,,1.04,-207,62,
393,C2,SA,3890,AMOCAL,1,,244,0.8,4,,-204,23,
394,C2,TR,3889,PSEMEN,1,,,,,7.9,-213,112,
395,C2,TR,3888,QUEGAR,1,,,,,14.5,-178,48,
396,C2,SA,3903,UMBCAL,1,,137,0.89,1,,-173,151,
397,C2,TR,3957,UMBCAL,1,,,,,1.41,-291,227,
398,C2,SA,3911,AMOCAL,1,,200,0.94,1,,-20,217,
399,C2,TR,3909,UMBCAL,1,,,,,3.78,219,230,
400,C2,SA,3907,UMBCAL,1,,221,1.26,1,,-203,-212,
401,C2,SA,4115,AMOCAL,1,,109,0.77,2,,178,-194,
402,C2,SA,3908,AMOCAL,1,,205,0.89,1,,-174,-235,
403,C2,TR,3954,PSEMEN,1,,,,,12.3,-123,-104,
404,,,,,,,,,,,,,
405,C2,TR,3910,UMBCAL,1,,,,,3.82,-10,240,
406,C2,TS,3910.1,UMBCAL,1,,180,1.42,3,,-10,240,
407,C2,SA,3860,UMBCAL,1,,109,0.68,1,,-129,-162,
408,C2,SA,3859,ARBMEN,1,,191,1.13,2,,283,-83,
409,C2,TR,3871,PSEMEN,1,,,,,1.84,-233,-40,
410,C2,SA,4114,AMOCAL,1,,90,0.58,1,,77,160,
411,C2,TR,3900,HETARB,1,,,,,3.08,-255,-81,
412,C2,TR,3900.1,HETARB,1,,,,,2.13,-255,-81,
413,C2,TR,3900.2,HETARB,1,,,,,1.09,-255,-81,
414,C2,TR,,HETARB,1,D,,,,4.02,222,-76,
415,C2,SA,3955,UMBCAL,1,,117,0.69,1,,219,-180,
416,C2,SA,4103,FRACAL,1,,81,0.75,2,,103,238,
417,C2,SA,3899,AMOCAL,1,,148,0.62,1,,195,-99,
418,C2,TR,3956,UMBCAL,1,,,,,1.02,171,-219,
419,C2,TR,3864,QUEGAR,0,,,,,18.45,103,-147,
420,C2,SA,3858,QUEAGR,1,,107,0.38,1,,101,-102,
421,C2,SA,3862,PSEMEN,1,,73,0.63,1,,107,-73,
422,C3,TR,3753,HETARB,1,,,,,2.34,22,17,
423,C3,TR,3753.1,HETARB,1,,,,,2.03,22,17,
424,C3,TR,3753.2,HETARB,1,,,,,1.11,22,17,
425,C3,SA,3971,UMBCAL,1,,168,1.2,1,,73,29,
426,C3,TR,3752,HETARB,1,,,,,1.77,25,95,
427,C3,TR,3752.1,HETARB,1,,,,,1.56,25,95,
428,C3,SA,3863,AMOCAL,1,,120,0.48,3,,134,55,
429,C3,TR,3972,PSEMEN,1,,,,,6,-92,40,
430,C3,SA,4113,HETARB,1,,73,0.39,1,,163,61,
431,C3,TR,3872,PSEMEN,1,,,,,4.75,164,130,
432,C3,SA,3961,FRACAL,1,,115,1.09,1,,-43,107,
433,,,,,,,,,,,,,
434,C3,TR,3870,UMBCAL,1,,,,,1.19,112,164,
435,C3,SA,,UMBCAL,0,D,,1.6,1,,149,163,BROKEN
436,C3,SA,3751,UMBCAL,1,,52,0.45,1,,60,181,
437,C3,TR,3963,PSEMEN,1,,,,,1.96,-34,101,
438,C3,SA,3750,PSEMEN,1,,69,0.41,1,,37,210,
439,C3,TR,3962,PSEMEN,1,,,,,2.22,-93,142,CHANGED TREE SPECIES FROM 'PP' TP 'PSEMEN'
440,C3,SA,3925,UMBCAL,1,,218,1.07,1,,167,223,
441,C3,TR,3915,UMBCAL,1,,,,,1.35,123,268,
442,C3,TR,3926,HETARB,1,,,,,1.69,163,-189,
443,C3,TR,3927,UMBCAL,1,,,,,1.1,179,-193,
444,C3,TR,3759,UMBCAL,1,,,,,2.05,201,-184,
445,C3,SA,3974,PSEMEN,1,,280,1.33,1,,-140,0,
446,C3,SA,4111,AMOCAL,1,,182,0.8,1,,179,-189,
447,C3,TR,3973,PSEMEN,1,,,,,2.64,-155,20,
448,C3,TR,3917,UMBCAL,1,,,,,2.42,141,-152,
449,C3,TR,3916,UMBCAL,1,,,,,1.04,112,-120,
450,C3,SA,3979,AMOCAL,1,,170,1.15,1,,-170,11,
451,C3,TR,3918,PSEMEN,1,,,,,3.35,63,-77,CHANGED TREE SPECIES FROM 'PP' TP 'PSEMEN'
452,C3,TR,,UMBCAL,1,D,,,,1.4,-95,51,
453,C3,SA,3923,UMBCAL,1,,107,0.79,1,,152,-89,
454,C3,SA,3924,UMBCAL,1,,284,0.91,1,,221,-100,
455,C3,SA,3975,UMBCAL,1,,185,1.09,1,,65,-130,
456,C3,SA,3922,UMBCAL,1,,236,1.21,1,,-258,61,
457,C3,SA,,QUEAGR,1,D,84,0.28,1,,-259,49,
458,C3,SA,4112,FRACAL,1,,64,0.44,1,,-270,35,
459,C3,SA,3978,UMBCAL,1,,94,0.73,1,,250,90,
460,C3,TR,3985,UMBCAL,1,,,,,5.54,-238,-116,
461,C3,SA,3976,UMBCAL,1,,100,0.77,1,,-195,65,
462,,,,,,,,,,,,,
463,C3,TR,3983,HETARB,1,,,,,3.04,292,-149,
464,C3,TR,3983.1,HETARB,1,,,,,1.73,292,-149,
465,C3,SA,3977,UMBCAL,1,,186,1.31,1,,210,110,
466,C3,SA,4108,UMBCAL,1,,129,0.85,1,,339,-135,
467,C3,SA,4109,UMBCAL,1,,87,0.6,1,,325,-136,
468,C3,SA,3959,UMBCAL,1,,215,1.34,1,,250,190,
469,C3,SA,3960,QUEAGR,1,,96,0.71,1,,-65,210,CHASE OAK?
470,C3,TR,3981,UMBCAL,1,,,,,4.11,-193,-142,
471,C3,TR,3967,PSEMEN,1,,,,,1.76,-200,-75,changed from 3957 qc2022mk
472,C3,SA,3968,UMBCAL,1,,180,1.13,1,,-180,-75,
473,C3,TS,4107,HETARB,1,,126,0.38,6,,-192,-124,
474,C3,TR,3986,HETARB,1,,,,,1.64,-150,-150,
475,C3,TR,,HETARB,1,D,,,,3.07,-192,-125,
476,C3,TR,,HETARB,1,D,,,,3.67,-155,-44,
477,C3,SA,3987,UMBCAL,1,,180,1.36,1,,-165,-125,
478,C3,TR,3928,HETARB,1,,,,,3.69,-30,-44,
479,C3,TR,3984,UMBCAL,1,,,,,1.14,-210,-90,
480,C3,TR,3966,PSEMEN,1,,,,,4.21,-10,-165,
481,C3,TR,3928.1,HETARB,1,,,,,1.96,-30,-44,
482,C3,TS,3928.2,HETARB,1,,89,0.49,7,,-30,-44,
483,C3,SA,3929,UMBCAL,1,,181,0.93,1,,-19,-20,
484,C3,SA,3980,FRACAL,1,,110,0.84,1,,-149,-233,
485,C3,SA,4106,UMBCAL,1,,60,0.34,1,,195,-191,
486,C4,SA,3919,UMBCAL,1,,199,1,1,,73,5,
487,C4,TR,3998,PSEMEN,1,,,,,2.82,-45,-35,
488,C4,SA,3930,UMBCAL,1,,98,0.68,1,,28,1,
489,C4,SA,3999,HETARB,1,,212,1.66,1,,-25,-5,
490,C4,TR,3920,PSEMEN,1,,,,,10.9,81,27,
491,,,,,,,,,,,,,
492,C4,TR,3931,UMBCAL,1,,,,,4.61,139,100,
493,C4,TR,3997,QUEGAR,1,,,,,19,-260,-70,
494,C4,SA,3921,UMBCAL,1,,128,0.72,2,,176,10,
495,C4,TR,,ARCMAN,1,D,,,,4.2,235,-30,
496,C4,SA,3994,UMBCAL,1,,138,0.74,1,,219,75,
497,C4,SA,3988,HETARB,1,,69,0.56,2,,-15,-175,
498,C4,SA,3995,AMOCAL,1,,263,1.05,2,,196,115,
499,C4,SA,3996,UMBCAL,1,,89,0.88,2,,195,142,
500,C4,SA,3990,UMBCAL,1,,180,1.6,2,,-90,-135,
501,C4,TR,,ARBMEN,1,D,,,,1.06,-85,240,
502,C4,TR,,UMBCAL,0,D,,,,1.24,204,-297,
503,C4,TR,3992,PSEMEN,1,,,,,8.55,-165,265,
504,C4,TR,4000,HETARB,1,,,,,2.01,-243,83,
505,C4,TR,4000.1,HETARB,1,,,,,1.82,-243,83,
506,C4,TS,4000.2,HETARB,1,,59,0.28,20,,-243,83,
507,C4,TR,3989,HETARB,1,,,,,1.87,-155,215,
508,C4,TS,3989.1,HETARB,1,,77,0.39,3,,-155,215,
509,C4,SA,3939,UMBCAL,1,,129,0.72,1,,-218,155,
510,C4,SA,4105,AMOCAL,1,,80,0.3,1,,175,-55,
511,C4,SA,4126,UMBCAL,1,,72,0.58,1,,275,197,
512,C4,SA,3944,AMOCAL,1,,279,1.26,1,,160,-5,
513,C4,TR,3935,PSEMEN,1,,,,,10.9,95,-130,
514,C4,SA,3938,UMBCAL,1,,85,0.55,1,,269,223,
515,C4,TR,3934,UMBCAL,1,,,,,1.42,95,-165,
516,C4,TR,3937,HETARB,1,,,,,1.72,308,210,
517,C4,TS,3937.1,HETARB,1,,62,0.27,4,,308,210,
518,C4,TS,3934.1,UMBCAL,1,,135,1.12,1,,95,-165,
519,C4,TR,3936,PSEMEN,1,,,,,9.5,75,-45,
520,,,,,,,,,,,,,
521,C4,TR,,HETARB,1,D,,,,3.51,-212,210,
522,C4,TR,3933,HETARB,1,,,,,1.64,105,-245,MANY DEAD BRANCHES
523,C4,TR,3991,PSEMEN,1,,,,,5.55,301,-220,
524,C4,TR,3933.1,HETARB,1,,,,,1.64,105,-245,
525,C4,TS,3933.2,HETARB,1,,55,0.35,11,,105,-245,
526,C4,TR,3992,PSEMEN,1,,,,,9.5,-182,-220,
527,C4,SA,3932,HETARB,1,,70,0.37,1,,80,225,
528,C4,SA,,PSEMEN,1,D,200,2.11,1,,-175,74,
529,C4,TR,,PSEMEN,1,D,,,,1.96,75,187,
530,C4,SA,4125,QUEGAR,1,,51,0.29,3,,176,-43,
531,D4,TR,4164,PSEMEN,1,,,,,1.91,165,-255,
532,D4,SA,4144,QUEAGR,1,,207,1.4,4,,-53,-106,
533,D4,SA,4158,AMOCAL,1,,197,1.71,5,,45,-214,
534,D4,TR,4141,HETARB,1,,,,,2.3,-78,500,
535,D4,TR,4141.1,HETARB,1,,,,,1.46,-78,500,
536,D4,TR,4141.2,HETARB,1,,,,,1.41,-78,500,
537,D4,TR,4141.3,HETARB,1,,,,,5,-78,500,
538,D4,TR,4141.4,HETARB,1,,,,,3.29,-78,500,
539,D4,TR,4141.5,HETARB,1,,,,,1.49,-78,500,
540,D4,TR,4153,PSEMEN,1,,,,,5.1,20,180,
541,D4,TR,4152,PSEMEN,1,,,,,5.3,20,90,
542,D4,SA,4173,QUEAGR,1,,75,0.7,1,,20,70,
543,D4,TR,,QUEGAR,1,D,,,,10.9,110,140,
544,D4,SA,4162,UMBCAL,1,,139,1.09,1,,190,105,
545,D4,TS,4141.6,HETARB,1,,,1.12,9,,-78,500,MISSING HEIGHT; 20130606 MFO
546,D4,SA,4154,QUEAGR,1,,94,1.12,1,,210,110,
547,D4,TR,4151,PSEMEN,1,,,,,7.25,190,55,
548,D4,TR,4146,UMBCAL,1,,,,,2.86,-145,-8,
549,,,,,,,,,,,,,
550,D4,SA,4142,HETARB,1,,71,0.46,5,,-166,-142,
551,D4,TR,,QUEGAR,1,D,,,,12.7,110,-135,
552,D4,TR,4191,PSEMEN,1,,,,,6.1,40,-75,
553,D4,TR,4147,UMBCAL,1,,,,,1.76,-230,-119,
554,D4,TR,,ARBMEN,1,D,,,,1.04,44,-50,
555,D4,TR,4150,UMBCAL,1,,,,,1.41,-230,-189,
556,D4,TR,4161,UMBCAL,1,,,,,1.14,100,-30,
557,D4,SA,4149,UMBCAL,1,,125,1.43,2,,-249,-178,
558,D4,TS,3946,QUEGAR,1,,71,0.37,2,,120,-120,
559,D4,TR,4163,QUEGAR,1,,,,,19.2,-238,-80,
560,D4,TS,4163.1,QUEGAR,1,,57,0.37,5,,-238,-80,
561,D4,TR,4148,UMBCAL,1,,,,,1.25,180,125,
562,D4,TR,4157,UMBCAL,1,,,,,1.63,-218,-107,was dup 4147 qc2022mk
563,D4,SA,,ARCMAN,0,D,180,2.21,1,,180,170,
564,D4,TR,4145,ARCMAN,1,,,,,2.68,233,-137,
565,D4,TR,4145.1,ARCMAN,1,,,,,1.82,233,-137,
566,D4,TR,3947,PSEMEN,1,,,,,9.6,233,-116,
567,D4,TR,,HETARB,1,,,,,2.43,145,20,
568,D4,TR,4195,UMBCAL,1,,,,,2.16,-100,150,
569,D4,TR,4189,HETARB,1,,,,,1.33,-100,140,
570,D4,TR,,PSEMEN,1,D,,,,6,-23,123,
571,D4,TR,4143,HETARB,1,,,,,1.45,-70,115,
572,D4,TR,4143.1,HETARB,1,,,,,1.06,-70,115,
573,D4,SA,4174,QUEAGR,1,,80,0.58,1,,-88,8,
574,D4,TS,4124,QUEGAR,1,,53,0.29,1,,110,140,ASSOCIATED WITH DEAD STUMP ; STUMP RECORDED?
575,D3,SA,4082,UMBCAL,1,,252,1.41,2,,104,-26,
576,,,,,,,,,,,,,
577,D3,TR,,PSEMEN,1,D,,2.24,,,47,-31,
578,D3,TR,4080,UMBCAL,1,,,,,1.66,67,-37,
579,D3,TR,4140,QUEGAR,1,,,,,19.5,-55,-54,
580,D3,SA,4084,UMBCAL,1,,200,1.7,1,,162,-67,
581,D3,SA,4085,UMBCAL,1,,71,0.82,1,,165,-8,
582,D3,SA,4190,QUEAGR,1,,62,0.47,1,,-32,-18,
583,D3,SA,,PSEMEN,1,D,184,1.18,1,,184,-22,
584,D3,TR,4136,QUEGAR,0,,,,,21.5,218,-58,
585,D3,SA,4130,AMOCAL,1,,85,1.25,5,,-56,-118,
586,D3,TS,4136.1,QUEGAR,0,,85,0.21,4,,218,-58,
587,D3,TR,4138,QUEGAR,0,,,,,17.1,-240,-111,
588,D3,TR,4139,PSEMEN,1,,,,,14.05,-31,-170,
589,D3,TR,4137,QUEGAR,0,,,,,28.6,192,-128,
590,D3,TR,,PSEMEN,1,D,268,1.48,1,,13,-128,
591,D3,TR,4081,PSEMEN,1,,,,,2.53,48,-154,
592,D3,SA,4165,UMBCAL,1,,135,1.18,1,,-170,-180,
593,D3,TR,4167,HETARB,1,,,,,2.69,158,-222,
594,D3,TR,4167.1,HETARB,1,,,,,1.27,158,-222,
595,D3,TR,4167.2,HETARB,1,,,,,2.1,158,-222,
596,D3,TR,4167.3,HETARB,1,,,,,1.79,158,-222,
597,D3,TR,4167.4,HETARB,1,,,,,1.86,158,-222,
598,D3,TR,4167.5,HETARB,1,,,,,3.06,158,-222,
599,D3,TR,4167.6,HETARB,1,,,,,2.96,158,-222,
600,D3,TR,4167.7,HETARB,1,,,,,1.49,158,-222,
601,D3,TR,4167.8,HETARB,1,,,,,1.54,158,-222,
602,D3,TR,4167.9,HETARB,1,,,,,1.31,158,-222,
603,D3,TR,4167.01,HETARB,1,,,,,1.23,158,-222,PROBLEM WITH '.10' = '.1'/ changed to .01 to reflect .10 in field 
604,D3,TS,4167.11,HETARB,1,,241,1.63,8,,158,-222,
605,,,,,,,,,,,,,
606,D3,TR,4183,QUEAGR,1,,,,,1.28,-56,-266,
607,D3,TR,4132,HETARB,1,,,,,3.3,-58,196,
608,D3,TR,4132.1,HETARB,1,,,,,3.45,-58,196,
609,D3,SA,4134,CEOCUN,0,,168,1.16,1,,-100,153,
610,D3,TR,4128,HETARB,1,,,,,4.09,123,166,
611,D3,TR,4127,AMOCAL,1,,,,,1.05,133,148,
612,D3,SA,4129,AMOCAL,1,,183,0.93,1,,130,102,
613,D3,TR,4156,HETARB,1,,,,,2.74,-89,164,
614,D3,TS,4156.1,HETARB,1,,101,0.4,2,,-89,164,
615,D3,TR,4135,HETARB,1,,,,,6.95,102,227,
616,D3,TR,4135.1,HETARB,1,,,,,6,102,227,
617,D3,SA,4079,QUEAGR,1,,72,0.5,1,,76,151,
618,D3,TR,3965,UMBCAL,1,,,,,1.68,30,118,CHANGED TYPE TO TR ; 20130605 MFO
619,D3,SA,3964,UMBCAL,1,,181,1.07,1,,12,129,INPUTED 1 IN SA BRANCH #
620,D3,TR,4133,PSEMEN,1,,,,,2.16,-153,155,
621,D3,SA,4171,QUEAGR,1,,234,1.66,2,,46,47,
622,D3,SA,4200,UMBCAL,0,,57,0.48,1,,-195,138,
623,D3,SA,4123,AMOCAL,1,,98,0.59,14,,197,13,
624,D3,SA,4175,QUEAGR,1,,78,1.43,2,,266,24,
625,D3,SA,4172,UMBCAL,1,,142,1.16,1,,-207,-125,
626,D3,TR,,ARBMEN,1,D,,,,26.6,-59,30,INPUTED 'D'; SAME INDIVIDUAL
627,D3,TR,,ARBMEN,1,D,,,,21,-59,30,INPUTED 'D'; SAME INDIVIDUAL
628,D2,SA,4077,FRACAL,1,,100,0.56,1,,-134,-61,
629,D2,SA,4073,AMOCAL,1,,108,0.6,1,,98,-28,
630,D2,SA,4071,UMBCAL,1,,206,1.92,1,,141,-95,
631,D2,TR,4583,AMOCAL,1,,,,,1.33,-81,-76,
632,D2,TR,4583.1,AMOCAL,1,,,,,1.15,-81,-76,
633,D2,TS,4583.2,AMOCAL,1,,200,1.21,5,,-81,-76,
634,,,,,,,,,,,,,
635,D2,SA,4070,AMOCAL,1,,206,1.01,6,,178,-181,
636,D2,SA,4065,AMOCAL,1,,113,0.68,1,,142,210,
637,D2,TR,4074,PSEMEN,1,,,,,10.8,216,-71,
638,D2,TR,4075,PSEMEN,1,,,,,2.99,-250,-84,
639,D2,TR,4075.1,PSEMEN,1,,,,,1.16,-250,-84,
640,D2,SA,4076,UMBCAL,1,,168,0.99,1,,-188,-206,
641,D2,TR,3912,PSEMEN,1,,,,,1.16,7,121,
642,D2,SA,,PSEMEN,1,D,153,1.03,1,,-28,198,
643,D2,SA,3861,UMBCAL,1,,86,0.58,1,,14,4,
644,D2,TR,,QUEDEC,0,D,,,,9,102,103,ERODED
645,D2,TR,,QUEDEC,0,D,,,,15,169,79,ERODED
646,D2,SA,4584,UMBCAL,1,,79,0.66,1,,-18,-224,
647,D2,TR,4066,UMBCAL,1,,,,,1.6,214,175,
648,D2,SA,4068,UMBCAL,1,,110,0.78,1,,239,109,
649,D2,TR,4069,HETARB,1,,,,,4.37,-201,132,
650,D2,TR,4069.1,HETARB,1,,,,,3.56,-201,132,
651,D2,TR,4069.2,HETARB,1,,,,,1.47,-201,132,
652,D2,TR,4069.3,HETARB,1,,,,,2.8,-201,132,
653,D2,TR,4069.4,HETARB,1,,,,,3.27,-201,132,
654,D2,TS,4069.5,HETARB,1,,250,1.31,1,,-201,132,INPUTED 1 IN SA BRANCH #
655,D2,SA,4585,QUEAGR,0,,141,0.83,2,,-62,250,CHASE OAK?
656,D2,TR,,ARCMAN,0,,,,,1.86,-75,-175,
657,D2,TR,4588,ARBMEN,1,,,,,21.2,-130,63,
658,D2,TR,4586,PSEMEN,1,,,,,4.18,-194,170,
659,D2,SA,4078,UMBCAL,1,,108,0.82,1,,244,112,"was dup 4068, but missing 4078 - both are dead and tag pulled in 2018 so just assigning one- mkqc22"
660,D2,SA,4587,UMBCAL,1,,104,1.15,1,,-177,143,
661,D2,TR,4589,ARBMEN,1,,,,,12.05,-124,82,DBH AT _
662,,,,,,,,,,,,,
663,D2,TR,,ARCMAN,1,D,,,,8,-67,-69,
664,D1,SA,4594,UMBCAL,1,,66,0.68,1,,-45,-94,
665,D1,SA,3848,AMOCAL,1,,241,1.72,10,,8,-53,
666,D1,TR,4059,UMBCAL,1,,,,,2.1,33,-49,
667,D1,TR,4059.1,UMBCAL,1,,,,,1.95,33,-49,
668,D1,SA,4595,UMBCAL,1,,177,2.18,1,,-34,-151,
669,D1,SA,4060,UMBCAL,1,,133,1.35,1,,87,-64,
670,D1,TR,,QUEAGR,1,D,,,,9,125,-66,
671,D1,SA,4058,HETARB,1,,131,0.82,2,,78,-160,
672,D1,SA,4596,ARBMEN,1,,52,0.94,1,,-92,-202,
673,D1,SA,4056,UMBCAL,1,,188,1.21,1,,93,-214,
674,D1,SA,4055,HETARB,1,,154,0.62,2,,33,190,
675,D1,TR,,QUEDEC,0,D,,17,,,66,172,DBH AT 10 CM
676,D1,TR,4592,HETARB,1,,,,,3.69,242,189,
677,D1,TR,4592.1,HETARB,1,,,,,2.11,242,189,
678,D1,TR,4592.2,HETARB,1,,,,,1.52,242,189,
679,D1,TR,4592.3,HETARB,1,,,,,1.39,242,189,
680,D1,TR,4592.4,HETARB,1,,,,,1.35,242,189,
681,D1,TR,4592.5,HETARB,1,,,,,1.6,242,189,
682,D1,TS,4592.6,HETARB,1,,156,0.82,3,,242,189,
683,D1,TR,4597,PSEMEN,1,,,,,4.68,-22,138,
684,D1,SA,4050,UMBCAL,1,,78,0.67,1,,-18,10,
685,D1,SA,4591,UMBCAL,1,,226,2,1,,266,-185,
686,D1,TR,4593,PSEMEN,1,,,,,7.25,-201,-80,
687,D1,SA,4051,ARBMEN,1,,200,2.86,1,,-137,107,
688,D1,SA,4590,HETARB,1,,163,0.88,8,,213,132,
689,D1,SA,4052,HETARB,1,,215,1.36,1,,200,108,
690,D1,SA,4054,HETARB,1,,81,0.71,3,,-161,176,
691,,,,,,,,,,,,,
692,D1,SA,4057,ARBMEN,1,,164,1.32,1,,-166,150,
693,D1,SA,4598,HETARB,1,,142,0.98,2,,-175,39,
694,D1,SA,4061,HETARB,1,,189,1.33,2,,82,50,
695,D1,SA,4122,HETARB,1,,70,0.73,1,,138,72,
696,D1,SA,4599,HETARB,1,,200,1.09,4,,-203,28,
697,D1,TR,4063,HETARB,1,,,,,1.07,83,10,
698,D1,TS,4063.1,HETARB,1,,138,0.81,3,,83,10,
699,D1,TR,4064,HETARB,1,,,,,2.69,181,38,NO 4064.8
700,D1,TR,4064.1,HETARB,1,,,,,3.4,181,38,
701,D1,TR,4064.2,HETARB,1,,,,,1.26,181,38,
702,D1,TR,4064.3,HETARB,1,,,,,1.54,181,38,
703,D1,TR,4064.4,HETARB,1,,,,,1.42,181,38,
704,D1,TR,4064.5,HETARB,1,,,,,1.17,181,38,
705,D1,TR,4064.6,HETARB,1,,,,,1.58,181,38,
706,D1,TR,4064.7,HETARB,1,,,,,1.09,181,38,
707,D1,TR,4064.9,HETARB,1,,,,,1.03,181,38,
708,D1,TR,4064.01,HETARB,1,,,,,1.69,181,38,PROBLEM WITH '.10' = '.1' changed to .01 to reflect .10 tag
709,D1,TS,4064.11,HETARB,1,,178,0.88,6,,181,38,
710,D1,SA,4053,UMBCAL,1,,67,0.59,1,,-236,28,
711,D1,TR,4600,ARBMEN,1,,,,,12.05,-263,1,
712,D1,TR,4600.1,ARBMEN,1,,,,,3.7,-263,1,
713,D1,SA,,ARCMAN,1,,100,3.45,1,,29,235,BROKEN HEIGHT
714,D1,TR,4062,ARBMEN,1,,,,,15.55,191,56,
715,,,,,,,,,,,,,
716,A1,TR,3414,PSEMEN,1,,,,,4.1,450,50,INPUTED AFTER AUG2013 RESURVEY 20130810 MFO
717,C3,SA,3982,AMOCAL,1,,200,0.79,1,,NA,NA,INPUTED AFTER AUG2013 RESURVEY 20130810 MFO
