Plot ID,1312,,Sampler(s),"MO,MK,AC,KO",,,,,Date ,20180620,,,,,,,,,
A3,SA,1340,,,QUEAGR,1,0,,,,119.4,0.82,0,,,,0,,
A3,SA,5569,8,100,QUEAGR,1,0,,,,108.9,0.52,0,,,,0,,
A2,SA,5575,92,500,QUEAGR,1,0,,,,80.5,0.11,0,,,,0,,
C3,SA,5567,270,74,UMBCAL,1,0,,,,64.4,0.55,0,,,,0,,
D2,SA,5568,182,250,UMBCAL,1,0,,,,77,0.54,1,,,,0,,
C2,SA,5576,72,227,UMBCAL,1,0,,,,54,0.49,0,,,,0,,
C4,SA,5577,118,445,QUEAGR,1,0,,,,57.5,0.79,0,,,,0,,
C4,SA,5578,442,203,UMBCAL,1,0,,,,60.4,0.61,0,,,,0,,
B2,SA,1426,,,QUEAGR,1,0,,,,114.5,1.01,0,,,,0,,
B2,SA,1442,,,QUEAGR,0,0,,,,0,0.95,0,,,,0,,
B2,SA,1440,,,QUEAGR,1,0,,,,138,1.21,0,,,,0,,
B2,SA,1443,,,QUEAGR,0,0,,,,,,,,,,0,,
B2,SA,5560,89,246,UMBCAL,1,0,,,,97.5,0.78,0,,,,0,,
B2,SA,1444,,,QUEAGR,1,0,,,,105,0.7,0,,,,0,,
B2,SA,1435,,,QUEAGR,1,0,,,,185,1.42,0,,,,0,,
B2,SA,1438,,,QUEAGR,1,0,,,,137,1.42,1,,,,0,,
B1,SA,1458,,,QUEAGR,1,0,,,,74,0.81,0,,,,0,,
B1,SA,5558,260,390,UMBCAL,1,0,,,,69,0.62,0,,,,0,,
B1,TR,1459,,,UMBCAL,1,0,0,1,5,,,,1.54,,,0,,
B1,SA,1461,,,UMBCAL,1,0,,,,274,0.61,0,,,,0,,
B1,SA,1466,,,UMBCAL,1,0,,,,141,1.37,0,,,,0,,
B1,TR,1464,,,UMBCAL,1,0,0,1,5,,,,1.36,,,0,,
B1,SA,1472,,,QUEAGR,1,0,,,,69,1.54,0,,,,0,,
B1,SA,1475,,,UMBCAL,1,0,,,,48,0.42,0,,,,0,,
B1,SA,1474,,,UMBCAL,1,0,,,,165.4,1.26,0,,,,0,,
B1,SA,1467,,,QUEAGR,0,0,,,,0,1.49,0,,,,0,,
B1,SA,1468,,,UMBCAL,1,0,,,,173,1.52,0,,,,0,,
B1,SA,1469,,,UMBCAL,1,0,,,,155,1.17,0,,,,0,,
B1,SA,1470,,,UMBCAL,1,0,,,,123,0.91,0,,,,0,,
B1,TR,1463,,,UMBCAL,1,0,0,1,5,,,,1.44,,,0,,"WAS SA, NOW TR"
B1,SA,1456,,,UMBCAL,1,0,,,,212,1.2,0,,,,0,,
B1,TR,1460,,,UMBCAL,1,0,0,1,4,,,,1.02,,,0,,"WAS SA, NOW TR"
B1,SA,1453,,,UMBCAL,1,0,,,,101,0.57,0,,,,0,,
B1,SA,1452,,,UMBCAL,1,0,,,,130,1.07,1,,,,0,,
B1,SA,1451,,,UMBCAL,1,0,,,,151,1.04,0,,,,0,,
B1,SA,1450,,,UMBCAL,1,0,,,,136,0.9,0,,,,0,,
B1,SA,1449,,,QUEAGR,1,0,,,,36,0.55,0,,,,0,,
B1,SA,1455,,,ARBMEN,0,0,,,,0,0.83,0,,,,0,,
B1,SA,1454,,,UMBCAL,1,0,,,,32,0.33,0,,,,0,,
A1,SA,1462,,,UMBCAL,1,0,,,,106,0.8,0,,,,0,,
A1,SA,5559,425,480,UMBCAL,1,0,,,,80,0.78,0,,,,0,,
A1,SA,1284,,,QUEAGR,1,0,,,,40,0.83,0,,,,0,,
A1,SA,1333,,,UMBCAL,1,0,,,,181,1.31,0,0.85,,,0,,
A1,SA,1332,,,UMBCAL,1,0,,,,213,1.91,1,,,,0,,
A1,SA,1282,,,UMBCAL,1,0,,,,107,0.85,0,,,,0,,
A1,TR,1274,,,UMBCAL,1,0,0,1,5,,,,1.76,,,0,,
A1,SA,1283,,,UMBCAL,1,0,,,,165,0.88,0,,,,0,,
A1,TR,1275,,,HETARB,1,0,0,1,5,,,,1.58,,,0,,
A1,TR,1273,,,QUEAGR,1,0,0,1,3,,,,25,,,0,,
A1,TR,1273.1,,,QUEAGR,1,0,0,1,2,,,,26.9,,,0,,
A1,SA,1281,,,UMBCAL,1,0,,,,108,0.75,0,,,,0,,
A1,SA,1279,,,UMBCAL,1,0,,,,250,1.56,2,,,,0,,
A1,SA,1280,,,UMBCAL,1,0,,,,185.5,1.23,0,,,,0,,
A1,TR,1278,,,UMBCAL,1,0,0,1,4,,,,1.28,,,0,,
A1,TR,1294,,,UMBCAL,1,0,0,1,5,,,,1.63,,,0,,
A1,TR,1276,,,UMBCAL,1,0,0,1,5,,,,1.42,,,0,,
A1,SA,1295,,,UMBCAL,1,0,,,,85,1.17,0,,,,0,,
A1,TR,1287,,,QUEAGR ,1,0,0,1,3,,,,5.38,,,0,,
A1,SA,1291,,,AESCAL,1,0,,,,12,0.75,0,,,,0,,
A1,SA,1292,,,UMBCAL,1,0,,,,143,1.48,0,,,,0,,
A1,SA,1288,,,PSEMEN,1,0,,,,167,0.38,0,,,,0,,
A1,TR,1293,,,UMBCAL,1,0,0,1,4,,,,1.71,,,0,,
A1,SA,1290,,,AESCAL,1,0,,,,233,1.41,0,,,,0,,
A1,TR,1289,,,UMBCAL,1,0,0,1,5,,,,2.6,,,0,,
A1,SA,5555,251,130,UMBCAL,1,0,,,,62,0.62,0,,,,0,,
A1,SA,5561,390,224,UMBCAL,1,0,,,,109,0.8,0,,,,0,,
A1,SA,1285,,,BACPIL,0,0,,,,,,,,,,0,,GONE
A1,TR,1286,,,UMBCAL,1,0,0,1,5,,,,1.5,,,0,,
A2,SA,1322,,,UMBCAL,1,0,,,,133.5,0.97,1,,,,0,,
A2,SA,1321,,,QUEAGR,1,0,,,,64,0.49,1,,,,0,,
A2,SA,5574,,,QUEAGR,1,0,,,,52,0.62,0,,,,0,,
A2,TR,1327,,,QUEAGR,1,0,0,1,3,,,,1.16,,,0,,
A2,SA,1328,,,ARBMEN ,1,0,,,,157.5,1.26,0,,,,0,,
A2,SA,1329,,,QUEAGR,1,0,,,,53.4,0.64,0,,,,0,,
A2,TR,1330,,,ARBMEN,1,0,0,1,5,,,,2.51,,,0,,
A2,TS,1330.1,,,ARBMEN,0,0,,,,,1.89,0,,,,0,,
A2,SA,1348,,,ARBMEN,1,0,,,,102.6,0.99,1,,,,0,,
A2,SA,1331,,,QUEAGR,1,0,,,,48,0.57,0,,,,0,,
A2,SA,1334,,,QUEAGR,1,0,,,,59.9,0.53,0,,,,0,,
A2,SA,1335,,,QUEAGR,1,0,,,,50.5,0.91,0,,,,0,,
A2,SA,1336,,,QUEAGR,1,0,,,,54.7,0.83,0,,,,0,,"averaged two dups, one with ht 48 bd .9 and the other with ht 61.3 and bd .76"
A2,SA,1319,,,QUEAGR,1,0,,,,,0.61,0,,,,0,,
A2,SA,1320,,,UMBCAL,1,0,,,,95.5,0.76,0,,,,0,,
A2,SA,1304,,,UMBCAL,1,0,,,,174.4,2.1,0,,,,0,,
A2,SA,1303,,,QUEAGR,1,0,,,,171.4,1.65,0,,,,0,,
A2,SA,1305,,,UMBCAL,1,0,,,,120.5,0.9,0,,,,0,,
A2,SA,1301,,,UMBCAL,1,0,,,,129.3,1.17,1,,,,0,,
A2,SA,1302,,,QUEAGR,1,0,,,,38,0.27,0,,,,0,,
A2,SA,1297,,,QUEAGR,1,0,,,,47.1,0.29,0,,,,0,,
A2,SA,1379,,,QUEAGR,1,0,,,,131.8,1.75,0,,,,0,,
A2,SA,5556,102,217,UMBCAL,1,0,,,,173,1.26,0,,,,0,,
A2,SA,1381,,,QUEAGR,1,0,,,,142.2,0.89,0,,,,0,,
A2,SA,5571,67,148,UMBCAL,1,0,,,,69.9,0.44,0,,,,0,,
A2,SA,1326,,,QUEAGR,1,0,,,,,,,,,,0,,
A2,TR,1299,,,QUEAGR,1,0,0,1,3,,,,34.4,,,0,,
A2,TR,1299.1,,,QUEAGR,1,0,0,1,1,,,,16.5,,,0,,
A2,SA,1298,,,ARBMEN,1,0,,,,17.3,1.16,0,,,,0,,
A2,SA,1311,,,QUEAGR,1,0,,,,92.2,0.64,0,,,,0,,
A2,SA,5573,81,305,QUEAGR,1,0,,,,65,0.71,0,,,,0,,
A2,SA,1277,,,UMBCAL,1,0,,,,180.2,1.39,1,,,,0,,
A2,TR,1300,,,ARBMEN,1,0,0,1,4,,,,1.04,,,0,,
A2,SA,1313,,,QUEAGR,1,0,,,,63.4,0.79,0,,,,0,,
A2,SA,1312,,,QUEAGR,1,0,,,,80.4,0.71,0,,,,0,,
A2,SA,1310,,,UMBCAL,1,0,,,,138.8,1.78,0,,,,0,,
A2,TR,1306,,,UMBCAL,1,0,0,1,5,,,,1.03,,,0,,
A2,SA,1308,,,QUEAGR,1,0,,,,82.6,0.58,1,,,,0,,
A2,SA,1309,,,UMBCAL,1,0,,,,107.8,1.07,0,,,,0,,
A2,SA,1323,,,UMBCAL,1,0,,,,76.3,1.14,0,,,,0,,
A2,SA,1324,,,QUEAGR,1,0,,,,64.2,0.71,1,,,,0,,
A2,TR,1296,,,UMBCAL,1,0,0,1,5,,,,1.22,,,0,,
B2,SA,1307,,,QUEAGR,0,0,,,,,,,,,,0,,COULD NOT FIND 
B1,SA,5580,174,260,QUEAGR,1,0,,,,73.1,0.96,0,,,,0,,
C4,SA,5579,175,165,UMBCAL,1,0,,,,59,0.62,0,,,,0,,
C4,SA,5565,367,266,QUEAGR,1,0,,,,61.5,0.36,0,,,,0,,
B4,SA,5572,255,421,QUEAGR,1,0,,,,73,0.61,0,,,,0,,
B4,SA,5583,-58,-2,UMBCAL,1,0,,,,88,0.75,0,,,,0,,
B4,SA,5582,277,351,UMBCAL,1,0,,,,60.5,0.47,0,,,,0,,
B4,SA,5581,186,148,UMBCAL,1,0,,,,63.5,0.42,0,,,,0,,
B4,SA,5584,-212,,UMBCAL,1,0,,,,69,0.6,0,,,,0,,
