Plot ID,1328,,Sampler(s),"MO, KO, MK, AC",,,,,Date ,20180724,,,,,,,,
D3,SA,5055,,,FRACAL,0,1,,,,,,,,35.3,0,0,
D3,TS,4909,,,QUEAGR,0,0,,,,,0.48,0,,,,0,
D3,SA,5024,,,QUEAGR,0,1,,,,,0.75,0,,28.2,0,0,"BD at 8 cm, new tag"
D3,SA,5800,122,115,UMBCAL,0,1,,,,,0.41,1,,34.4,0,0,Og dead
D3,SA,5799,10,55,FRACAL,1,0,,,,74.6,0.46,3,,,,0,
D3,SA,5798,342,491,UMBCAL,0,1,,,,,0.56,0,,26.5,0,0,
D2,SA,4986,,,PSEMEN,0,0,,,,,,,,,,1,Gone
D2,SA,4963,,,PSEMEN,0,0,,,,,,,,,,1,Gone
D2,SA,4968,,,PSEMEN,0,0,,,,,0.64,0,,,,0,
D2,TR,4969,,,PSEMEN,0,0,0,0,0,,,,2.3,,,0,
D2,TR,4971,,,UMBCAL,0,1,0,0,0,,,,1.89,97.1,20,0,og dead
D2,TR,4971.1,,,UMBCAL,0,0,0,0,0,,,,1.98,,,0,
D2,TS,4971.2,,,UMBCAL,0,0,,,,,1.82,0,,,,0,
D2,SA,5058,,,UMBCAL,0,1,,,,,1.72,0,0.85,69.6,2,0,og dead
D2,SA,4968,,,PSEMEN,0,0,,,,,1.04,0,,,,0,
D2,SA,4967,,,PSEMEN,0,0,,,,,0.95,0,,,,0,
D2,TR,4966,,,PSEMEN,0,0,0,0,0,,2.13,0,1.05,,,0,
D2,SA,4965,,,PSEMEN,0,0,,,,,1.79,0,,,,0,
B4,SA,5842,360,420,QUEAGR,0,1,,,,,0.76,0,,26,0,0,
B4,SA,4815,,,PSEMEN,0,0,,,,,1.32,,,,,0,
B4,TR,4806,,,QUEAGR,1,0,1,1,3,,,,15.3,,,0,
B4,TR,4807,,,QUEAGR,1,0,0,1,4,,,,22,,,0,
B4,TR,4808,,,QUEAGR,1,0,1,1,1,,,,9.1,,,0,
B4,SA,4804,,,FRACAL,0,1,,,,,1.64,0,,54.8,2,0,
B4,TS,4821,,,QUEAGR,0,0,,,,,0.5,0,,,,0,
B4,SA,4817,,,PSEMEN,0,0,,,,,0.74,0,,,,0,
B4,SA,4814,,,PSEMEN,0,0,,,,,0.96,0,,,,0,
B4,SA,4818,,,PSEMEN,0,0,,,,,1.37,0,,,,0,
B4,SA,4820,,,PSEMEN,0,0,,,,,1.05,0,,,,0,
B4,SA,999.53,,,PSEMEN,0,0,,,,,0.46,0,,,,0,
B4,SA,4819,,,PSEMEN,0,0,,,,,0.98,0,,,,0,
B4,SA,4826,,,PSEMEN,0,0,,,,,0.87,1,,,,0,
B4,SA,999.54,,,QUEAGR,0,0,,,,,0.56,1,,,,0,
B4,TS,4827,,,QUEAGR,0,1,,,,,,,,28,0,0,
B4,TR,4830,,,QUEAGR,1,1,1,0,1,,,,7.8,,,0,
B4,TR,4831,,,ARBMEN,1,1,0,1,3,,,,3.1,,,0,
B4,TR,4831.1,,,ARBMEN,1,0,0,1,3,,,,2,,,0,
B4,TR,4831.2,,,ARBMEN,0,0,0,0,0,,,,1.37,,,0,
B4,TS,4827,,,QUEAGR,0,0,,,,,0.81,1,,,,0,
B4,TR,4829,,,PSEMEN,0,0,0,0,0,,,,2.8,,,0,
B4,SA,4828,,,FRACAL,0,1,,,,,0.65,0,,,,0,
B4,SA,999.55,,,QUEAGR,0,0,,,,,0.46,1,,,,0,
B3,SA,999.56,,,PSEMEN,0,0,,,,,0.38,0,,,,0,
B3,SA,5051,,,AMOCAL,0,1,,,,,0.5,0,,25.4,0,0,
B3,SA,4837,,,AMOCAL,0,1,,,,,1.13,1,,54.1,2,0,
D2,SA,4964,,,PSEMEN,0,0,,,,,0.8,0,,,,0,
D2,SA,4961,,,PSEMEN,0,0,,,,,1.22,0,,,,0,
D2,TR,4980,,,QUEAGR,1,0,1,0,1,,,,10.5,,,0,
D2,TR,4981,,,QUEAGR,1,1,1,1,3,,,,19.6,,,0,
D2,TR,4979,,,QUEAGR,1,1,1,0,1,,,,8.8,,,0,
D2,TR,4982,,,QUEAGR,1,0,1,1,2,,,,11.8,,,0,
D1,TR,4984,,,QUEAGR,1,0,1,1,3,,,,26.3,,,0,
D2,SA,4983,,,PSEMEN,0,0,,,,,0.79,0,,,,0,
D2,SA,5056,,,HETARB,0,0,,,,,0.51,0,,,,0,
D2,TS,5057,,,QUEAGR,0,1,,,,,,,,37.4,0,0,
D2,SA,4962,,,PSEMEN,0,0,,,,,1.08,0,,,,0,
D2,SA,4970,,,PSEMEN,0,0,,,,,1.04,0,,,,0,
D2,SA,5797,150,66,QUEAGR,0,1,,,,,0.76,0,,12,0,0,OG dead
D1,TR,4985,,,QUEAGR,1,0,1,1,2,,,,21.6,,,0,
D1,TR,4960,,,FRACAL,0,0,0,0,0,,,,1.83,,,0,
D1,TR,4960.1,,,FRACAL,0,0,0,0,0,,,,,,,1,gone
D1,TR,4960.2,,,FRACAL,0,0,0,0,0,,,,,,,1,gone
D1,TS,4960.3,,,FRACAL,0,0,,,,,,,,,,1,Gone
D1,TR,4977,,,QUEAGR,1,0,1,1,4,,,,32.7,,,0,
D1,TR,4976,,,QUEAGR,1,0,1,0,1,,,,11.1,,,0,
D1,TR,4978,,,QUEAGR,1,0,1,1,3,,,,11.3,,,0,
D1,SA,999.61,,,PSEMEN,0,0,,,,,0.68,0,,,,0,
D1,SA,5883,97,202,FRACAL,0,1,,,,,0.62,0,,14.4,0,0,OG dead
D1,SA,999.62,,,PSEMEN,0,0,,,,,0.49,0,,,,0,
D1,SA,999.65,,,PSEMEN,0,0,,,,,0.58,0,,,,0,
D1,SA,4975,,,PSEMEN,0,0,,,,,0.64,0,,,,0,
D1,SA,999.66,,,PSEMEN,0,0,,,,,0.46,0,,,,0,
D1,SA,4959,,,PSEMEN,0,0,,,,,1.29,0,,,,0,
B3,SA,5843,402,498,AMOCAL,0,1,,,,,0.72,0,,134,4,0,
B3,TR,4838,,,QUEAGR,1,1,0,1,4,,,,30.7,,,0,
B3,TS,5844,448,416,QUEAGR,0,1,,,,,1.19,0,,31,0,0,
B3,TR,4839,,,PSEMEN,0,0,0,0,0,,,,1.7,,,0,
B3,SA,4840,,,AMOCAL,0,1,,,,,0.85,0,,179.5,1,0,
B3,SA,5845,490,180,FRACAL,0,1,,,,,0.39,0,,35.8,0,0,
B3,SA,999.57,,,PSEMEN,0,0,,,,,0.59,0,,,,0,
B3,SA,999.58,,,PSEMEN,0,0,,,,,0.47,0,,,,0,
B3,TR,4843,,,QUEAGR,1,0,0,1,4,,,,23.9,,,0,
B3,SA,999.59,,,PSEMEN,0,0,,,,,0.75,0,,,,0,
B3,SA,5846,495,155,HETARB,0,1,,,,,0.33,0,,14.6,0,0,
B3,SA,4835,,,PSEMEN,0,0,,,,,0.73,0,,,,0,
B3,TR,4836,,,PSEMEN,1,0,0,1,4,,,,20.5,,,0,
B3,TR,4850,,,QUEAGR,1,1,0,1,4,,,,33.9,,,0,
B3,SA,5847,68,152,PSEMEN,1,0,,,,68.9,0.87,0,,,,0,
B3,SA,5050,,,PSEMEN,0,0,,,,,0.84,0,,,,0,
B3,SA,4833,,,FRACAL,0,1,,,,,0.95,0,,88.4,3,0,
B3,SA,4847,,,PSEMEN,0,0,,,,,0.68,0,,,,0,
B3,SA,4848,,,PSEMEN,0,0,,,,,0.97,0,,,,0,
B3,SA,4849,,,PSEMEN,0,0,,,,,0.79,0,,,,0,
B3,SA,999.63,,,PSEMEN,0,0,,,,,0.39,0,,,,0,
B3,SA,999.64,,,PSEMEN,0,0,,,,,0.4,0,,,,0,
B3,SA,4845,,,PSEMEN,0,0,,,,,1.24,0,,,,0,
B3,SA,4844,,,QUEAGR,0,1,,,,,0.76,2,,27.8,0,0,
B3,SA,4841,,,QUEAGR,0,1,,,,,0.68,0,,23.6,0,0,
B3,SA,4842,,,PSEMEN,0,0,,,,,1.3,0,,,,0,
B2,SA,5848,473,398,PSEMEN,1,0,,,,55.1,0.51,0,,,,0,
B2,SA,999.67,,,PSEMEN,0,0,,,,0.42,,,,,,0,
B2,TR,4846,,,QUEAGR,1,0,0,1,3,,,,23.2,,,0,
B2,SA,4855,,,FRACAL,0,1,,,,,0.29,2,,40.3,0,0,OG dead
B2,TR,4858,,,QUEAGR,1,0,1,1,3,,,,19.5,,,0,
B2,TR,4857,,,QUEAGR,1,1,1,1,3,,,,18.4,,,0,
B2,TR,4854,,,PSEMEN,0,0,0,0,0,,,,3.61,,,0,
B2,TS,4852,,,QUEAGR,0,1,,,,,0.51,0,,42.1,0,0,
B2,SA,4851,,,PSEMEN,0,0,,,,,0.98,0,,,,0,
B2,SA,4853,,,QUEAGR,0,0,,,,,,,,,,0,tag not found
B1,SA,999.68,,,PSEMEN,0,0,,,,,0.46,0,,,,0,
B1,SA,999.69,,,PSEMEN,0,0,,,,,0.6,0,,,,0,
B1,TS,5849,456,191,QUEAGR,0,1,,,,,0.51,0,,38.8,0,0,og dead
A1,TS,999.71,,,QUEAGR,0,0,,,,,0.62,0,,,,0,
B1,TR,4872,,,QUEAGR,1,0,1,1,2,,,,23.4,,,0,
B1,TR,4871,,,QUEAGR,1,0,1,1,3,,,,27.8,,,0,
B1,TR,4873,,,QUEAGR,1,0,,1,1,,,,1.02,,,0,
B1,SA,4863,,,PSEMEN,0,0,,,,,0.63,0,,,,0,
B1,SA,4862,,,PSEMEN,0,0,,,,,1.39,0,,,,0,
B1,SA,4860,,,PSEMEN,0,0,,,,,0.91,0,,,,0,
B1,SA,4859,,,PSEMEN,0,0,,,,,0.77,0,,,,0,
B1,TR,4870,,,QUEAGR,1,0,1,1,3,,,,14.2,,,0,
B1,TR,4865,,,FRACAL,0,1,0,0,0,,,,2.17,96,7,0,
B1,TR,4865.2,,,FRACAL,0,0,0,0,0,,,,1.36,,,0,
B1,TS,4865.1,,,FRACAL,0,0,,,,,0.49,0,,,,0,
B1,SA,999.72,,,PSEMEN,0,0,,,,,0.41,0,,,,0,
B1,TR,4866,,,UMBCAL,0,1,0,0,0,,,,1.31,100.8,2,0,
B1,TR,4867,,,QUEAGR,0,0,0,0,0,,,,7.28,,,0,
B1,TR,4874,,,QUEAGR,0,0,0,0,0,,,,3.82,,,0,
B1,TR,4868,,,QUEAGR,1,0,1,0,1,,,,6.2,,,0,
B1,TR,4869,,,QUEAGR,1,0,1,0,1,,,,168,,,0,
B1,SA,4861,,,PSEMEN,0,0,,,,,,,,,,0,Dead/gone
B1,SA,4876,,,PSEMEN,0,0,,,,,0.62,0,,,,0,
B1,SA,4875,,,PSEMEN,0,0,,,,,0.42,0,,,,1,approximate BD
B1,SA,4864,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
