Plot ID,1312,,Sampler(s),"MK, MO, TT, GH, MF",,,,,Date ,"20190611, 20190612",,,,,,,,,
B1,TR,1460,,,UMBCAL,1,0,1,1,4,,,,1.03,,,,1,
B1,SA,1475,,,UMBCAL,1,0,,,,50.3,0.39,1,,,,,,*
B1,SA,1472,,,QUEAGRI,1,0,,,,82,8.1,1,,,,,,IS BD .81 OR 8.1 ? CHECK '18 DB
B2,SA,5580,,,QUEAGRI,1,0,,,,77,0.97,2,,,,,,CHANGE TO B2 IN DB
B2,SA,6426,50,70,QUEAGRI,1,0,,,,67.9,0.73,3,,,,,,
B2,SA,5553,,,QUEAGRI,1,0,,,,55.9,0.74,2,,,,,,
B2,SA,6425,450,210,ARBMEN,1,0,,,,74.1,1.11,0,,,,,,
B2,SA,1447,,,QUEAGRI,1,0,,,,76.1,1.1,3,,,,,,
B2,TR,1445,,,QUEAGRI,1,0,1,1,3,,,,1.02,,,,,"DEAD, WOULD BE .1 BD OF 1.6"
B2,SA,5560,,,UMBCAL,1,0,,,,77.7,0.77,0,,,,,,
B2,SA,1444,,,QUEAGRI,1,0,,,,102.1,1.51,5,,,,,,TOP KILLED 
B2,SA,1437,,,QUEAGRI,1,0,,,,80.7,1.66,0,,,,,,TOP KILLED 
B2,SA,1438,,,QUEAGRI,1,0,,,,133.1,1.45,2,,,,,,
B2,TR,1429,,,QUEAGRI,1,0,0,1,1,,,,1.62,,,,,ONE BRANCH ALIVE/  not on list/ was typo 1439- mkqc2022
B2,SA,1435,,,QUEAGRI,1,0,,,,140.3,1.97,0,,,,,,
B2,SA,1434,,,PSEMEN,1,0,1,1,4,,,,3.7,,,,,
B2,SA,1436,,,QUEAGRI,1,0,,,,93.4,1.02,2,,,,,,STILL BROKEN @ BASE
B2,SA,1430,,,QUEAGRI,1,0,,,,77.3,1.08,1,,,,,,
B2,SA,1431,,,UMBCAL,1,0,,,,113.4,1.2,2,,,,,,*
B2,SA,1433,,,QUEAGRI,1,0,,,,77.7,1.41,0,,,,,,
B2,SA,1432,,,QUEAGRI,1,0,,,,151.5,1.76,1,,,,,,
B2,SA,5563,,,QUEAGRI,1,0,,,,44.6,0.74,3,,,,,,
B2,SA,1421,,,QUEAGRI,1,0,,,,98.2,0.82,1,,,,,,
B2,SA,1422,,,QUEAGRI,1,0,,,,154.3,1.83,1,,,,,,
B2,SA,1426,,,QUEAGRI,1,0,,,,102.4,0.97,0,,,,,,
B2,SA,1440,,,QUEAGRI,1,0,,,,141.7,1.32,3,,,,,,
B2,SA,1442,,,QUEAGRI,1,0,,,,65.2,1.37,0,,,,,,
B2,SA,1443,,,QUEAGRI,0,1,,,,NA,0.48,0,,41.8,NA,,,OG DEAD
B2,SA,1424,,,QUEAGRI,1,0,,,,62.4,1.04,2,,,,,,2 IN DB 13
B2,SA,1425,,,QUEAGRI,1,0,,,,100.6,0.39,0,,,,,,
B2,SA,1427,,,QUEAGRI,1,0,,,,133.8,1.56,0,,,,,,
B2,SA,1428,,,UMBCAL,1,0,,,,147,1.27,0,,,,,,
B2,SA,1307,,,QUEAGRI,0,0,,,,,,,,,,,,NOT FOUND IN '18 OR '19 DB
B2,SA,1448,,,ARBMEN,1,0,,,,133.9,1.44,2,,,,,,
B2,SA,1446,,,QUEAGRI,1,0,,,,102.2,1.41,5,,,,,,
B2,SA,5562,,,ARBMEN,1,0,,,,85.8,1.13,0,,,,,,
B2,SA,5564,,,QUEAGRI,1,0,,,,53.6,0.82,1,,,,,,
B3,SA,1406,,,QUEAGRI,1,0,,,,65.6,1.81,2,,,,,,TOP KILLED
B3,SA,1403,,,QUEAGRI,1,0,,,,99.3,1.09,1,,,,,,TOP KILLED
B3,SA,1408,,,QUEAGRI,1,0,,,,75.4,0.79,1,,,,,,
B3,SA,6424,308,325,QUEAGRI,1,0,,,,67.5,0.84,0,,,,,,
B3,SA,6423,288,250,QUEKEL,1,0,,,,89,0.81,0,,,,,,
B3,SA,1407,,,QUEAGRI,1,0,,,,71.6,1.09,2,,,,,,
B3,SA,1410,,,QUEAGRI,1,0,,,,45.8,0.42,1,,,,,,
B3,SA,1409,,,QUEAGRI,1,0,,,,107.4,0.64,1,,,,,,
B3,SA,1457,,,QUEAGRI,1,0,,,,75,0.84,1,,,,,,
B3,SA,1401,,,QUEAGRI,1,0,,,,52,0.61,4,,,,,,TOP KILLED 
B3,SA,1439,,,QUEAGRI,1,0,,,,40.4,0.6,2,,,,,,TOP KILLED 
C3,SA,1536,,,QUEAGRI,1,0,,,,138.5,1.26,1,,,,,,
C3,TR,1538,,,QUEAGRI,1,0,0,1,3,,,,1.34,,,,,
C3,TR,1538.1,,,QUEAGRI,1,0,1,0,1,,,,1.05,,,,,
C3,SA,1537,,,QUEAGRI,1,0,,,,68.9,0.73,2,,,,,,
C3,SA,1539,,,QUEAGRI,1,0,,,,80.3,0.75,0,,,,,,
C3,SA,1540,,,QUEAGRI,1,0,,,,39.5,0.36,2,,,,,,
C3,SA,5567,,,UMBCAL,1,0,,,,69.5,0.57,0,,,,,,WAS MISENETERED AS QUEAGRI- MKQC2022
C3,SA,1542,,,UMBCAL,1,0,,,,129.4,1.15,1,,,,,,2018 BD ENTERED AS DBH- WAS MISENETERED AS QUEAGRI- MKQC2022
C3,SA,1592,,,QUEAGRI,1,0,,,,81,1.04,2,,,,,,
C3,TR,1545,,,HETARB,1,0,0,1,4,,,,2.35,,,,,
C3,TR,1545.1,,,HETARB,1,0,1,1,2,,,,1.42,,,,,
C3,TR,1545.2,,,HETARB,1,0,0,0,4,,,,1.65,,,,,
C3,SA,1541,,,HETARB,1,0,,,,172.8,0.82,7,,,,,,
C2,SA,1534,,,QUEAGRI,1,0,,,,49.4,0.45,3,,,,,,TOP KILLED
C2,SA,1517,,,QUEAGRI,1,0,,,,59.4,0.76,6,,,,,,TOP KILLED
C2,SA,1516,,,QUEAGRI,1,0,,,,130.2,1.05,3,,,,,,
C2,SA,1515,,,QUEAGRI,1,0,,,,161.1,1.04,0,,,,,,
C2,SA,1518,,,QUEAGRI,1,0,,,,85.3,0.97,1,,,,,,
C2,SA,1520,,,ARBMEN,1,0,,,,125.5,1,0,,,,,,
C2,SA,1519,,,QUEAGRI,1,0,,,,57.2,0.65,2,,,,,,TOP KILLED
C2,SA,1514,,,UMBCAL,1,0,,,,92.5,0.88,3,,,,,,
C2,SA,1521,,,HETARB,1,0,,,,115.8,0.65,0,,,,,,TOP KILLED/ QUEAGRI IN '18 DB- fixed it- mkqc22
C2,TR,1569,418,212,QUEAGRI,1,1,0,1,3,,2.11,,2.99,NA,0,,,UPDATED 2013 XY
C2,SA,1530,,,ARBMEN,1,0,,,,232.2,2.24,0,,,,,,
C2,TR,1528,,,HETARB,1,0,0,1,5,,,,1.47,,,,,
C2,SA,1532,,,UMBCAL,1,0,,,,78.8,0.5,2,,,,,,
C2,SA,1531,,,QUEAGRI,1,0,,,,52.2,0.4,0,,,,,,
C2,SA,1526,,,HETARB,1,0,,,,109.1,0.66,5,,,,,,
C2,SA,1533,,,HETARB,1,0,,,,74.8,0.45,0,,,,,,
C2,SA,5576,,,UMBCAL,1,0,,,,52.8,0.67,0,,,,,1,
C2,SA,1525,,,HETARB,1,0,,,,94.2,0.64,1,,,,,,
C2,TR,1524,,,ARBMEN,1,0,0,1,5,,,,2,,,,,
C2,TR,1510,,,ARBMEN,1,0,0,1,5,,,,1.18,,,,,
C2,SA,1511,,,ARBMEN,1,0,,,,190.2,2.46,0,,,,,,
C2,SA,1513,,,QUEAGRI,1,0,,,,96.5,1.13,2,,,,,,TOP KILLED
C2,TR,1512,,,QUEAGRI,1,0,0,1,2,,,,1.07,,,,,
C2,SA,1508,,,ARBMEN,1,0,,,,197.2,2.5,1,,,,,,
C2,SA,1509,,,ARBMEN,1,0,,,,184.2,2.05,0,,,,,,
C2,SA,1523,,,ARBMEN,1,0,,,,142.2,1.42,1,,,,,,
C2,SA,5538,,,UMBCAL,1,0,,,,63.9,0.53,0,,,,,,
C2,TR,1529,,,HETARB,1,0,0,1,5,,,,2.27,,,,,
C2,SA,1527,,,QUEAGRI,1,0,1,,,188,1.24,0,,,,,,"DENSE, WARTY-LOOKING EPICORMIC"
D2,SA,6378,186,163,QUEAGRI,1,0,,,,55.1,0.53,0,,,,,,
D2,SA,6379,,,QUEAGRI,1,0,,,,60.2,0.41,0,,,,,,
C1,SA,5577,,,QUEAGRI,1,0,,,,49.6,0.73,1,,,,,,TOP KILLED
B3,SA,5518,,,QUEAGRI,1,0,,,,69.1,0.7,12,,,,,,
B3,SA,1441,,,QUEAGRI,1,0,,,,95.5,1.02,4,,,,,,
B3,TR,1399,,,QUEAGRI,1,1,0,1,2,,,,1.2,115,2,,,{?} STEM DEAD
B3,SA,1398,,,QUEAGRI,1,0,,,,65.9,0.89,3,,,,,,
B3,SA,1465,110,1,QUEAGRI,1,0,,,,56.6,0.33,2,,,,,,CORRECTED XY
B3,SA,1413,,,ARBMEN,1,0,,,,227,1.54,1,,,,,,
B3,SA,5529,,,QUEAGRI,1,0,,,,77.1,0.42,1,,,,,,TOP KILLED
B3,SA,5528,,,QUEAGRI,1,0,,,,39.8,0.53,1,,,,,,
B3,SA,1415,,,QUEAGRI,1,0,,,,35.6,0.36,4,,,,,,
B3,SA,5522,,,UMBCAL,1,0,,,,73,0.69,0,,,,,,*
B3,SA,1417,,,QUEAGRI,0,0,,,,NA,0.75,1,,,,,,
B3,SA,1412,,,QUEAGRI,1,0,,,,130.2,1.29,2,,,,,,
B3,SA,1411,,,QUEAGRI,1,0,,,,80.4,1.18,2,,,,,,TOP KILLED
B3,SA,1419,,,QUEAGRI,1,0,,,,57,0.46,1,,,,,,TOP KILLED
B3,SA,1418,,,QUEAGRI,1,0,,,,106,0.56,1,,,,,,
B3,SA,1416,,,UMBCAL,1,0,,,,97,0.88,0,,,,,,*
B3,SA,5521,,,QUEAGRI,1,0,,,,53.9,1.53,4,,,,,,TOP KILLED
B3,TR,1400,,,QUEAGRI,1,0,1,1,2,,,,2.18,,,,,
B3,TR,1405,,,ARBMEN,1,0,0,1,4,,,,2.6,,,,,
B3,TR,1404,,,ARBMEN,1,0,1,1,4,,,,1.91,,,,,
B3,SA,6422,315,340,QUEKEL,1,0,,,,52.2,0.33,1,,,,,,
B3,SA,1397,,,HETARB,1,0,,,,173.5,1.83,6,,,,,,was typo 1379- mkqc2022
B3,SA,1420,,,QUEAGRI,1,0,,,,95.3,0.78,0,,,,,,
B3,SA,1396,,,QUEAGRI,1,0,,,,118.1,1.14,0,,,,,,
B3,SA,1402,,,QUEAGRI,1,0,,,,130.2,1.14,0,,,,,,
B3,SA,5526,,,QUEAGRI,1,0,,,,65.5,0.64,1,,,,,,
B4,TR,1378,,,QUEAGRI,1,1,1,1,3,,,,19.2,NA,0,,,
B4,TR,1360,,,PSEMEN,1,0,1,1,5,,,,1,,,,,
B4,SA,1346,,,HETARB,1,0,,,,59.1,0.38,2,,,,,,
B4,SA,1395,,,ARBMEN,1,0,,,,76.8,1.16,0,,,,,,
B4,SA,1372,,,ARBMEN,1,0,,,,156.4,2.47,1,,,,,,
B4,SA,1382,,,ARBMEN,1,0,,,,90.6,1.76,0,,,,,,
B4,SA,5501,,,PSEMEN,1,0,,,,84.7,0.77,0,,,,,,
B4,SA,1377,,,HETARB,1,0,,,,124.5,0.87,3,,,,,,
B4,SA,1414,,,PSEMEN,1,0,,,,18.4,1.17,0,,,,,,
B4,SA,1373,,,UMBCAL,1,0,,,,88,1.28,0,,,,,,*
B4,SA,1374,,,UMBCAL,1,0,,,,149.2,1.64,0,,,,,,*
B4,SA,1375,,,ARBMEN,1,0,,,,67.6,0.96,0,,,,,,
B4,SA,1370,,,QUEAGRI,1,0,,,,16.5,0.51,1,,,,,,TOP KILLED
B4,SA,1376,,,QUEAGRI,1,0,,,,55,0.51,1,,,,,,TOP KILLED
B4,SA,6421,351,400,UMBCAL,1,0,,,,53.4,0.82,0,,,,,,*
B4,SA,1371,,,HETARB,1,0,,,,176,1.38,13,,,,,,
B4,SA,1386,,,ARBMEN,1,0,,,,65.8,1.33,0,,,,,,was typo 1385
B4,SA,1387,,,HETARB,1,0,,,,136.4,1.32,4,,,,,,
B4,SA,1388,,,ARBMEN,1,0,,,,89.6,0.42,3,,,,,,TOP KILLED
B4,SA,1391,,,QUEAGRI,0,0,,,,NA,NA,,,,,,1,TAG PULLED/ GONE
B4,SA,1393,,,QUEAGRI,1,0,,,,210.5,1.61,2,,,,,,
B4,SA,1392,,,ARBMEN,1,0,,,,72.2,0.58,0,,,,,,TOP KILLED
B4,SA,1394,,,QUEAGRI,1,0,,,,85.2,0.59,2,,,,,,
B4,SA,1380,,,UMBCAL,1,0,,,,176.7,2.13,1,,,,,,*
B4,SA,1390,,,UMBCAL,1,0,,,,139,1.77,0,,,,,,*
B4,TR,1389,,,UMBCAL,1,0,0,1,4,,,,1.35,,,,1,
B4,SA,5510,,,QUEAGRI,1,0,,,,75.4,0.7,0,,,,,,
B4,SA,5509,,,UMBCAL,1,0,,,,77.5,0.62,0,,,,,,*
B4,SA,5507,,,UMBCAL,1,0,,,,83,0.7,0,,,,,,*
B1,SA,5583,492,498,UMBCAL,1,0,,,,95.5,0.81,0,,,,,,*
B1,SA,5584,288,160,UMBCAL,1,0,,,,87.6,0.65,0,,,,,1,
