Plot ID,PPW1330,,Sampler(s),"MO, GH, TT",,,,,Date ,20190618/ 20190620/20190621,,,,,,,,,
C2,TR,3953,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,DEAD
C2,SA,3860,,,UMBCAL,1,0,,,,86.5,0.761,1,,,,,,RESPROUT BD
C2,SA,3898,,,HETARB,0,0,,,,NA,NA,NA,,,,,,
C2,TR,3896,,,UMBCAL,0,1,0,0,0,,,,NA,191,3,,,
C2,TR,3892,,,UMBCAL,0,1,0,0,0,,,,NA,174.2,7,,,
C2,TR,3889,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,DEAD
C2,TR,3888,,,QUEGAR,1,1,1,1,3,,,,14.3,187.3,12,,,
C2,TR,3913,,,UMBCAL,0,1,0,0,0,,,,NA,146.3,12,,,
C2,TR,4104,,,HETARB,0,1,0,0,0,,,,NA,59.5,2,,,
C2,TR,3871,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,DEAD
C2,TR,3900,,,HETARB,1,1,0,1,2,,,,3.3,143.7,10,,,
C2,TR,3900.1,,,HETARB,1,0,1,1,2,,,,2.1,,,,,
C2,TR,3900.2,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
C2,SA,3907,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,DEAD
C2,TR,3909,,,UMBCAL,0,1,0,0,0,,,,,130.1,3,,,
B3,TR,3804,,,HETARB,0,1,0,0,0,,,,NA,NA,0,,,
B3,TR,3804.1,,,HETARB,0,1,0,0,0,,,,NA,198.1,15,,,
B3,TR,3804.2,,,HETARB,0,1,0,0,0,,,,NA,201.8,7,,,
B3,TR,3804.3,,,HETARB,0,1,0,0,0,,,,NA,250.5,14,,,
B3,TR,3804.4,,,HETARB,1,1,1,1,1,,,,2.55,170.6,6,,,
B3,TR,3804.5,,,HETARB,0,1,0,0,0,,,,NA,151.1,7,,,
B3,TR,3804.6,,,HETARB,0,1,0,0,0,,,,NA,258,6,,,
B3,TR,3804.7,,,HETARB,0,1,0,0,0,,,,NA,221.4,9,,,
B3,TR,3804.8,,,HETARB,0,1,0,0,0,,,,NA,0.7,9,,,
B3,TR,3804.9,,,HETARB,0,1,0,0,0,,,,NA,162,16,,,
B3,TR,3804.01,,,HETARB,0,0,0,0,0,,,,NA,,,1,,POINT TEN/ DEAD
B3,TR,3804.11,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
B3,TR,3804.12,,,HETARB,0,1,0,0,0,,,,NA,169.5,7,,,
B3,TR,3804.13,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
B3,TS,3804.14,,,HETARB,0,0,,,,NA,NA,,,,,1,,DEAD
B3,TR,3735,,,HETARB,0,1,0,0,0,,,,NA,109.1,8,,,
B3,SA,3736,,,HETARB,1,0,,,,61.3,0.43,4,,,,,,RESPROUT BD
B3,SA,3807,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,
B3,SA,3737,,,UMBCAL,1,0,,,,82.7,0.44,1,,,,,,RESPROUT BD
B3,SA,3703,,,UMBCAL,1,0,,,,120.8,0.51,4,,,,,,RESPROUT BD
B3,SA,3740,,,UMBCAL,1,0,,,,139.1,0.64,2,,,,,,RESPROUT BD
B3,SA,3749,,,UMBCAL,1,0,,,,95,0.71,2,,,,,,RESPROUT BD
B3,TR,3813,400,58,UMBCAL,0,1,0,0,0,,0.99,,,156.6,4,,,RESPROUT BD
B3,TR,3746,,,HETARB,0,1,0,0,0,,,,NA,182.5,6,,,
B3,TR,3746.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
B3,TR,3746.2,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
B3,TR,3754,,,HETARB,0,1,0,0,0,,,,NA,93.8,1,,,
B3,TS,3754.1,,,HETARB,0,0,,,,NA,NA,,,,,1,,
C2,TR,3958,,,HETARB,0,1,0,0,0,,,,NA,83,2,,,
C2,TR,3958.1,,,HETARB,0,1,0,0,0,,,,NA,81.2,7,,,
C2,TR,3893,,,HETARB,0,1,0,0,0,,,,NA,170,13,,,
C2,TR,3893.1,,,HETARB,0,0,0,0,0,,,,NA,,,,,
C2,SA,4101,,,AMOCAL,1,0,,,,154.4,0.85,17,,,,,,RESPROUT BD
C2,SA,4104,,,HETARB,1,0,,,,57.5,0.57,3,,,,,,NOT ON LIST
C2,SA,5693,,,AMOCAL,1,0,,,,120.2,0.59,6,,,,,,
C2,SA,3890,,,AMOCAL,1,0,,,,130.1,0.78,13,,,,,,RESPROUT BD
C2,TR,3891,,,UMBCAL,0,1,0,0,0,,,,NA,160.6,2,,,
C2,TR,3914,,,HETARB,0,1,0,0,0,,,,NA,189.2,17,,,
C2,TR,3914.1,,,HETARB,0,0,0,0,0,,,,,,,1,,DEAD
C2,TR,3914.2,,,HETARB,0,0,0,0,0,,,,,,,1,,DEAD
C2,TR,3914.3,,,HETARB,0,0,0,0,0,,,,,,,1,,DEAD
C2,TS,3914.4,,,HETARB,0,0,,,,,,,,,,1,,DEAD
C2,SA,4115,,,AMOCAL,1,0,,,,41.2,0.27,2,,,,,,
C2,SA,3908,,,AMOCAL,1,0,,,,44.8,0.3,0,,,,,,RESPROUT BD
C2,SA,3903,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,DEAD
C2,TR,3895,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,DEAD
C2,TR,3957,,,UMBCAL,0,1,0,0,0,,,,NA,147.2,5,,,
C2,SA,3859,,,ARBMEN,0,0,,,,NA,NA,NA,,,,1,,DEAD
C2,SA,3904,,,UMBCAL,1,0,,,,30,0.24,0,,,,,,RESPROUT BD
C2,SA,3906,,,QUEGAR,1,0,,,,155.8,0.47,0,,,,,,RESPROUT BD
C2,TR,3910,,,UMBCAL,0,1,0,0,0,,,,NA,167.4,6,,,
C2,TR,3910.1,,,UMBCAL,0,1,0,0,0,,,,NA,166.1,7,,,
C2,SA,3911,,,AMOCAL,1,0,,,,25.8,0.18,0,,,,,,RESPROUT BD
C2,SA,3955,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,DEAD
C2,SA,3901,,,HETARB,0,0,,,,NA,NA,NA,,,,1,,DEAD
C2,TR,3956,,,UMBCAL,0,0,0,0,0,,,,NA,,,,,GONE/ TAG NOT FOUND
B3,TR,3808,,,HETARB,0,1,0,0,0,,,,NA,221.5,5,,,
B3,TR,3808.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
B3,TS,3808.3,,,HETARB,0,0,,,,NA,NA,,,,,1,,
B2,SA,3823,,,UMBCAL,1,0,,,,149.1,1.03,7,,,,,,RESPROUT IN BD
B1,SA,3877,,,UMBCAL,1,0,,,,59.9,0.55,1,,,,,,"RESPROUT IN BD, {?SCAN ILLEGIBLE IN MARGIN} - averaged with a dup at scan line 154 61/.56/1 and this one 58.8/.55/1"
B2,TR,3811,,,HETARB,0,1,0,0,0,,,,NA,144.5,15,,,
B2,TR,3811.1,,,HETARB,0,0,0,0,0,,,,4.14,,,,,
B2,TR,3811.2,,,HETARB,0,1,0,0,0,,,,4.22,164.8,11,,,
B2,TR,3811.3,,,HETARB,0,0,0,0,0,,,,NA,,,,,
B2,SA,6381,396,400,FRACAL,1,0,,,,123.5,0.7,3,,,,,,NEW SA
B2,TR,3827,,,HETARB,0,1,0,0,0,,,,NA,215,14,,,
B2,TR,3827.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
B2,TR,3826,,,HETARB,0,1,0,0,0,,,,,137.1,9,,,
B2,TR,3826.1,,,HETARB,0,1,0,0,0,,,,,138.3,5,,,
B2,TR,3828,,,HETARB,0,1,0,0,0,,,,NA,140,8,,,
B2,TR,3828.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
B2,TS,3828.2,,,HETARB,0,0,,,,NA,NA,,,,,1,,
D4,TR,4163,,,QUEGAR,1,1,0,1,3,,,,19.6,106.2,11,,,
D4,TS,4163.1,,,QUEGAR,1,0,,,,53.9,0.91,0,,,,,,
D4,TR,4141,,,HETARB,0,1,0,0,0,,,,NA,115.3,9,,,
D4,TR,4141.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D4,TR,4141.2,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D4,TR,4141.3,,,HETARB,0,1,0,0,0,,,,NA,152.1,11,,,
D4,TR,4141.4,,,HETARB,0,1,0,0,0,,,,NA,108.7,33,,,
D4,TR,4141.5,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D4,TS,4141.6,,,HETARB,0,0,,,,NA,NA,,,,,,,GONE/ NOT FOUND
D4,TR,4146,,,UMBCAL,0,1,0,0,0,,,,NA,157.5,8,,,
D4,SA,4144,,,QUEAGRI,1,0,,,,60.2,0.34,8,,,,,,RESPROUT BD- (was quegar typo-mkqc2022)
C2,SA,4103,,,FRACAL,0,0,,,,NA,NA,NA,,,,,,GONE/ NOT FOUND
C1,TR,3849,,,PSEMEN,0,0,0,0,0,,,,,,,1,,DEAD
C1,TR,3887,,,PSEMEN,0,0,0,0,0,,,,2.9,,,,,3837 IN /18 DB?
C1,TR,3856,,,PSEMEN,1,0,0,1,2,,,,14.6,,,,,
C1,TR,3855,,,QUEAGRI,0,1,0,0,0,,,,13.5,100.6,12,,,
C1,TS,3855.1,,,QUEAGRI,0,0,,,,NA,NA,,,,,1,,DEAD
C1,SA,3853,,,QUEAGRI,0,0,,,,NA,NA,NA,,,,1,,DEAD
C1,TR,3846,,,UMBCAL,0,1,0,0,0,,,,NA,28.6,8,,,
C1,TR,3883,,,ARBMEN,1,0,0,1,4,,,,25.6,,,,,
C1,TR,3883.1,,,ARBMEN,0,1,0,0,0,,,,6.7,80.6,1,,,
C1,TR,3869,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,DEAD
C1,SA,3865,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,DEAD
C1,SA,3885,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,DEAD
C1,TR,3886,,,UMBCAL,0,1,0,0,0,,,,NA,121,3,,,
C1,SA,3868,,,HETARB,1,0,,,,71.3,0.7,5,,,,,,REPROUT BD
C1,TR,3873,,,AMOCAL,0,1,0,0,0,,,,,166.4,16,,,
C1,TS,3873.1,,,AMOCAL,0,0,,,,NA,NA,,,,,1,,DEAD
C1,SA,3884,,,HETARB,0,0,,,,NA,NA,NA,,,,1,,DEAD
C1,SA,3857,,,HETARB,1,0,,,,75.8,0.47,1,,,,,,
C1,SA,5692,,,UMBCAL,1,0,,,,43.6,0.36,0,,,,,,REPROUT BD
C1,SA,3945,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,GONE/ TAG NOT FOUND
C1,SA,3866,,,HETARB,1,0,,,,NA,0.27,NA,,45.1,,,,REPROUT BD
D4,TR,3947,,,PSEMEN,1,0,0,1,3,,,,12.8,,,,,
D4,TR,4150,,,UMBCAL,0,1,0,0,0,,,,,130.9,2,,,changed from 1/0 to 0/1 based on data - mkqc2023
D4,TR,4147,,,UMBCAL,0,1,0,0,0,,,,NA,,,1,,
D4,SA,4149,,,UMBCAL,1,0,,,,101,0.65,2,,,,,,RESPROUT BD
D4,TR,4148,,,UMBCAL,0,1,0,0,0,,,,NA,157,2,,,
D4,TR,4164,,,PSEMEN,0,0,0,1,0,,,,NA,,,1,,
D4,TR,4161,,,UMBCAL,0,0,0,0,0,,,,NA,109.1,4,,,
D4,TR,4191,,,PSEMEN,1,0,0,1,2,,,,7,,,,,
D4,TR,4153,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
D4,TR,4152,,,PSEMEN,1,0,0,1,2,,,,6.3,,,,,
D4,TR,4151,,,PSEMEN,1,0,0,1,3,,,,10.9,,,,,
D4,SA,4154,,,QUEAGRI,0,0,,,,NA,NA,NA,,,,1,,
D4,SA,4162,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,
D4,TR,4143,,,HETARB,0,1,0,0,0,,,,NA,104.7,5,,,
D4,TR,4143.1,,,HETARB,1,0,0,1,4,,,,1.16,,,,,
D4,SA,5607,,,UMBCAL,1,0,,,,33.1,0.4,0,,,,,,OG DEAD/ RESPROUT BD
D4,TR,4189,,,HETARB,0,1,0,0,0,,,,NA,104,3,,,
D4,TR,4195,,,UMBCAL,1,0,0,1,4,,,,2.7,,,,,
D4,TR,4195.1,,,UMBCAL,1,0,0,1,5,,,,1.41,,,,,NEW POINT
D4,SA,4174,,,QUEAGRI,0,0,,,,NA,NA,NA,,,,1,,
D4,SA,5687,,,UMBCAL,1,0,,,,25.9,0.3,0,,,,,,
D4,TR,4145,,,ARCMAN,0,0,0,0,0,,,,NA,,,,,GONE  was typo arbmen-mkqc2022
D3,SA,4085,,,UMBCAL,1,0,,,,45.2,0.4,0,,,,,,RESPROUT BD
D3,TR,4082,,,UMBCAL,0,1,0,0,0,,,,NA,112.3,3,,,
D3,TR,4080,,,UMBCAL,0,1,0,0,0,,,,NA,94.7,12,,,
D3,SA,4083,,,AMOCAL,1,0,,,,43.9,0.29,0,,,,,,RESPROUT BD
D3,TR,4084,,,UMBCAL,0,0,0,0,0,NA,NA,NA,,,,,,
D3,TR,4136,,,QUEGAR,1,1,1,1,3,,,,21.3,85.5,15,,,MAYBE 4163 IN '18 DB? Fixed it there and here
D3,TS,4136.1,,,QUEGAR,1,0,,,,48.5,0.75,0,,,,,,
D3,TR,4133,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
D3,SA,4190,,,QUEAGRI,1,0,,,,26.4,0.44,0,,,,,,
D3,TR,4140,,,QUEGAR,1,1,1,1,4,,,,19.5,84.5,27,,,QUEGAR X DOU?
D3,TR,4139,,,PSEMEN,1,0,0,1,3,,,,20.2,,,,,
D3,SA,4130,,,AMOCAL,1,0,,,,131.8,0.73,4,,,,,,REPROUT BD
D2,SA,4076,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,GONE
D3,TR,4138,,,QUEGAR,1,1,1,1,4,,,,17.1,71.2,6,,,QUEGAR X DOU?
D3,SA,4165,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,
D3,TR,4132,,,HETARB,0,1,0,0,0,,,,NA,123.4,12,,,
D3,TR,4132.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D3,TR,4137,,,QUEGAR,1,1,1,1,3,,,,28.7,108.3,25,,,QUEGAR X DOU?
D3,TR,4081,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
D2,TR,4075,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
D2,TR,4075.1,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
D3,TR,4167,,,HETARB,0,1,0,0,0,,,,NA,160.5,8,,,
D3,TR,4167.1,,,HETARB,0,1,0,0,0,,,,NA,194.6,14,,,
D3,TR,4167.2,,,HETARB,0,0,0,0,0,,,,NA,,,,,4137.2 IN '18 DB
D3,TR,4167.3,,,HETARB,0,1,0,0,0,,,,NA,166.2,25,,,
D3,TR,4167.4,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D3,TR,4167.5,,,HETARB,0,1,0,0,0,,,,NA,145.8,17,,,
D3,TR,4167.6,,,HETARB,0,0,0,0,0,,,,NA,,,,,
D3,TR,4167.7,,,HETARB,0,1,0,0,0,,,,NA,132.3,6,,,
D3,TR,4167.8,,,HETARB,0,1,0,0,0,,,,NA,136,8,,,
D3,TR,4167.9,,,HETARB,0,0,0,0,0,,,,NA,,,,,
D3,TR,4167.01,,,HETARB,0,0,0,0,0,,,,NA,,,,,POINT TEN
D3,TS,4167.11,,,HETARB,1,0,,,,191.1,NA,1,NA,,2,,,
D3,TR,4135,,,HETARB,0,1,0,0,0,,,,NA,132.9,18,,,
D3,TR,4135.1,,,HETARB,1,0,0,1,3,,,,6.3,,,,,
D3,SA,5690,,,AMOCAL,1,0,,,,86.4,0.48,10,,,,,,
D3,TR,4128,,,HETARB,0,1,0,0,0,,,,NA,181.6,16,,,
D3,SA,4171,,,QUEAGRI,1,0,,,,187.8,0.65,1,,,,,,REPROUT BD
D3,TR,3965,,,UMBCAL,0,1,0,0,0,,,,NA,166.5,7,,,
D3,TR,4157,,,UMBCAL,0,0,,,,,,,,,,1,,MAYBE 4147 IN '18 DB- yep- fixed it
D3,SA,4172,,,UMBCAL,1,0,,,,92.6,0.69,4,,,,,,RESPROUT BD
D3,TR,4127,,,AMOCAL,0,1,0,0,0,,,,NA,NA,0,,,
D3,SA,4123,,,AMOCAL,1,0,,,,17.6,NA,NA,0,,,,,no BD?
D3,SA,3964,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
D3,SA,6382,360,325,BACPIL,1,0,,,,56.6,0.21,2,,,,,,NEW SA
D3,TR,4156,,,HETARB,0,0,0,0,0,,,,NA,,,,,NOT FOUND
D3,TR,4156.1,,,HETARB,0,0,0,0,0,,,,NA,,,,,NOT FOUND
D2,TR,3912,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
D2,TR,4074,,,PSEMEN,0,0,0,0,0,,,,11.9,,,,,
D2,SA,4071,,,UMBCAL,1,0,,,,98.4,0.78,1,,,,,,RESPROUT BD
D2,SA,4070,,,AMOCAL,1,0,,,,42.2,0.39,0,,,,,,40070 IN '18 DB/ RESPROUT BD
D2,TR,4583,,,AMOCAL,0,1,0,0,0,,,,NA,178.9,11,,,
D2,TR,4583.1,,,AMOCAL,0,0,0,0,0,,,,NA,,,,,
D2,TS,4583.2,,,AMOCAL,0,0,,,,NA,NA,,,,,,,
D2,TR,4066,,,UMBCAL,0,1,0,0,0,,,,NA,138.4,12,,,
D2,TR,4589,,,ARBMEN,0,1,0,0,0,,,,11.7,161.6,9,,,
D2,TR,4588,,,ARBMEN,1,1,0,1,2,,,,22.9,135,17,,,
D2,TR,4586,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
D2,TR,4069,,,HETARB,0,1,0,0,0,,,,NA,208.2,14,,,
D2,TR,4069.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D2,TR,4069.2,,,HETARB,0,0,0,0,0,,,,NA,,,,,
D2,TR,4069.3,,,HETARB,0,1,0,0,0,,,,NA,108.3,17,,,
D2,TR,4069.4,,,HETARB,0,1,0,0,0,,,,NA,161.5,13,,,
D2,TS,4069.5,,,HETARB,0,0,,,,NA,NA,NA,,,,,,
D2,SA,4587,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,
D2,SA,4077,,,FRACAL,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
D2,SA,6383,425,450,CEATHY,1,0,,,,53.7,0.22,1,,,,,,NEW SA
D1,TR,3854,,,PSEMEN,0,0,0,0,0,,,,18.9,,,,,
D1,TR,4054,,,HETARB,0,0,0,0,0,NA,NA,NA,,,,1,,
D1,TR,4059,,,UMBCAL,0,1,0,0,0,,,,NA,167.1,13,,,
D1,TR,4059.1,,,UMBCAL,0,0,0,0,0,,,,NA,,,,,
D1,TR,3848,,,AMOCAL,0,1,0,0,0,,,,NA,216.2,8,,,NOT ON LIST
D1,TR,4593,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
D1,SA,4595,,,UMBCAL,0,0,,,,,,,,,,1,,{? ILLEGIBLE SCAN}
D1,TR,4597,,,PSEMEN,1,0,0,1,2,,,,5,,,,,NOT ON LIST
D1,SA,4052,,,HETARB,1,0,,,,42.5,0.37,0,,,,,,NOT ON LIST/ RESPROUT BD
D1,SA,4590,,,HETARB,0,1,,,,80.5,0.52,NA,,,,,,"RESPROUT BD- (was dead in 2018, mkqc2023)"
D1,TR,4063,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D1,TR,4062,,,ARBMEN,1,1,0,1,2,,,,16.8,74.7,3,,,NOT ON LIST
D1,TR,4600,,,ARBMEN,1,1,1,1,2,,,,12.3,96.3,3,,,
D1,TR,4600.1,,,ARBMEN,1,0,0,1,3,,,,3.6,,,,,
D1,SA,4599,,,HETARB,0,1,,,,78.1,0.81,NA,,,,,,"REPROUT BD- (was dead in 2018, mkqc2023)"
D1,TR,5691,,,UMBCAL,0,1,0,0,0,,,,NA,78.4,2,,,
D1,TR,4064,,,HETARB,0,1,0,0,0,,,,NA,152.5,17,,,
D1,TR,4064.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D1,TR,4064.2,,,HETARB,0,1,0,0,0,,,,NA,103.4,4,,,
D1,TR,4064.3,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D1,TR,4064.4,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D1,TR,4064.5,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D1,TR,4064.6,,,HETARB,0,1,0,0,0,,,,NA,115.2,5,,,
D1,TR,4064.7,,,HETARB,0,1,0,0,0,,,,NA,117.1,5,,,
D1,TR,4064.8,,,HETARB,0,0,0,0,0,,,,NA,,,,,NOT FOUND
D1,TR,4064.9,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D1,TR,4592,,,HETARB,0,1,0,0,0,,,,NA,191.2,7,,,
D1,TR,4592.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D1,TR,4592.2,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D1,TR,4592.3,,,HETARB,0,1,0,0,0,,,,NA,225.8,10,,,22225.8 OR 225.8?
D1,TR,4592.4,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D1,TR,4592.5,,,HETARB,0,1,0,0,0,,,,NA,106,5,,,
D1,TR,4591,,,UMBCAL,0,1,0,0,0,,,,NA,108.3,6,,,
D1,SA,4050,,,UMBCAL,1,0,,,,83.3,0.53,1,,,,,,RESPTOUT BD
D1,SA,4053,,,UMBCAL,0,1,,,,33.2,0.22,NA,,,,,,dead in 2018 so new resporut here-mkqc2023
D1,SA,4051,,,ARBMEN,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
D1,SA,4060,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,
D1,SA,4594,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,
D1,SA,4056,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
D1,SA,4598,,,HETARB,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
D1,SA,4061,,,HETARB,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
D1,SA,4058,,,HETARB,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
D1,SA,4055,,,HETARB,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
A4,SA,6384,179,382,CEATHY,1,0,,,,51.2,0.25,0,,,,,,NEW SA
A4,SA,6385,179,390,CEATHY,1,0,,,,60,0.3,1,,,,,,NEW SA
A4,SA,6386,210,282,BACPIL,1,0,,,,52,0.39,2,,,,,,NEW SA
A2,SA,6387,61,439,AMOCAL,1,0,,,,94,0.45,2,,,,,,NEW SA
